,grade,module,week,question_stem,choice,answer
154,6,8,5,1. All aspects of the brains behaviour are due to (3.0分),A.psychons B.social factors C.the activities of neurons . D.personalities E.some unknown force,C.the activities of neurons .
155,6,8,5,2. Below are some typical symptoms of addiction except for(3.0分),A.Urges / cravings B.Loss of control C.Irrational beliefs D.Admit E.Compulsive thinking,D.Admit
156,6,8,5,"3. The major mechanism of cocaine addiction is listed below, except for:(3.0分)","A.it is a serotonin release inducer, which mediates functionality of serotonin as an exogenous transporter ligand. B.it is a norepinephrine reuptake inhibitor. C.it is a dopamine reuptake inhibitor. D.it is a serotonin reuptake inhibitor. E.Because of the way it affects the mesolimbic reward pathway, cocaine is addictive.","A.it is a serotonin release inducer, which mediates functionality of serotonin as an exogenous transporter ligand."
157,6,8,5,4. Which statement is wrong concerning neurotransmitters effect in alcohol addiction? (3.0分),"A.decreased serotonin causes impulsivity, disinhibition B.stimulates opiates thus causes euphoria C.decreased dopamine causes pleasure, reward, and craving D.stimulates GABA thus causes sedation and hypnotic E.inhibits glutamate thus causes amnesia and learning impairments","C.decreased dopamine causes pleasure, reward, and craving"
158,6,8,5,5. 关于神经症的的流行病学情况，下面说法正确的是(3.0分),A.男性高于女性  B.国内1982年流调资料患病率为2.2%  C.国外报道患病率在3%左右  D.以20-30岁年龄段患病率最高  E.不属于高发疾病,B.国内1982年流调资料患病率为2.2% 
159,6,8,5,6. 下列说法正确的是 (3.0分),A.所有强迫症患者的自知力存在，故其求治要求都十分迫切  B.对身体畸形（虽然根据不足）的疑虑或先占观念也属于疑病障碍  C.恐惧症患者的恐惧对象包括自己内心的某些思想或观念  D.行为疗法是治疗恐惧症的首选方法，且疗效持久  E.在神经症的等级诊断中神经衰弱应优先考虑,B.对身体畸形（虽然根据不足）的疑虑或先占观念也属于疑病障碍 
160,6,8,5,7. 美国心理学家Beck认为一些神经症患者有许多不适当的认知方式，下述哪项不正确 (3.0分),A.疑病症--认为患了不治之症，到处求医  B.焦虑症--对自己、对世界、对前途的负性认识  C.惊恐发作--灾难化地解释自己的躯体或心理体验  D.强迫症--总是不放心、怀疑、唯恐不恰当，穷思竭虑  E.恐惧症--认为某些实际无危险的环境有危险,B.焦虑症--对自己、对世界、对前途的负性认识 
161,6,8,5,8. 关于惊恐障碍的叙述，以下哪项不对 (3.0分),A.通常起病急骤，终止也迅速  B.每次一般历时5-20分钟，很少超过1小时  C.症状不是继发于其他躯体或精神疾病  D.诊断要求1月内至少有3次发作或首发后继发害怕再发的焦虑持续1月  E.发作期间大多意识清晰,E.发作期间大多意识清晰
162,6,8,5,9. 32.恐惧症首选疗法是(3.0分),A.抗抑郁药物治疗 B.抗焦虑药物治疗  C.认知治疗  D.行为治疗 E.精神分析治疗,D.行为治疗
163,6,8,5,10. 32岁女性，公务员。自诉近半年来可能由于工作太忙，加之一些家庭矛盾而逐渐出现失眠，以入睡困难为主，自觉工作能力不如以前。近3个月以来，常莫名其妙的感到紧张，担心。担心小孩会出事，担心自己会得病，担心会发生不好的事情，因而时刻提心吊胆。近半月以来症状更加明显，几乎通宵不能入睡，坐立不安，心慌心悸，情绪不稳。曾有2次听到有人叫她的名字而没有看到人的情况出现，觉得单位同事在议论她有精神病。既往有哮喘病史，余无特殊。体查发现双侧甲状腺轻度肿大，有双上肢细微震颤。未发现精神病性症状。心电图提示窦性心动过速。 要确诊(4.0分),A.脑CT或脑MRI检查 B.做MMPI、PANSS等量表检查  C.做甲状腺功能检查 D.脑电图检查 E.做心、肺功能检查,C.做甲状腺功能检查
164,6,8,5,11. 以下关于脑电波的描述中，错误的是 (3.0分),A.频率14-30Hz，幅度5-20μV为β波    B.频率8-13Hz，幅度20-100μV为α波  C.频率4-7Hz，幅度100-150μV为θ波  D.频率0.5-3Hz，幅度20-200μV为γ波 ,D.频率0.5-3Hz，幅度20-200μV为γ波 
165,6,8,5,12. 对慢波睡眠的描述，错误的是 (3.0分),A.肌肉松弛    B.少梦或不做梦  C.脑电图出现高幅慢波   D.出现明显眼球运动,D.出现明显眼球运动
166,6,8,5,13. 特征性的梭形脑电波出现在(3.0分),A.慢波睡眠II期 B.慢波睡眠I期  C.快波睡眠 D.慢波睡眠III期,A.慢波睡眠II期
167,6,8,5,14. 精神状况检查包括的内容： (3.0分),A.一般表现、认识活动与情感意志活动 B.一般表现、认识活动与情感意志行为活动和特殊状况下的检查 C.一般表现、认识活动与情感意志行为活动 D.一般表现、感知思维活动与情感意志行为活动 E.一般表现、感知思维智能活动与情感意志行为活动,B.一般表现、认识活动与情感意志行为活动和特殊状况下的检查
168,6,8,5,15. 国际疾病分类（ICD系统）中精神障碍是第几章(3.0分),A.第八章 B.第六章  C.第五章 D.第三章    E.第九章,C.第五章
169,6,8,5,16. 认识活动包括的内容(3.0分),A.感知思维记忆智能  B.感知思维注意记忆自知力  C.感知思维注意记忆智能自知力 D.感知思维注意记忆智能 E.错觉幻觉思维记忆智能自知力,C.感知思维注意记忆智能自知力
170,6,8,5,17. 临床常用的精神障碍的分类与诊断系统是(3.0分),A.ICD   B.DSM  C.ICD、DSM  D.CCMD   E.CCMD、ICD及DSM,E.CCMD、ICD及DSM
