,grade,module,week,question_stem,choice,answer
256,6,7,8,1. 关于BCG接种，正确的说法是： (3.0分),A.BCG接种能降低儿童发病及其严重性 B.BCG接种能预防感染 C.BCG是一种无毒鼠型结核菌活菌疫苗 D.BCG只需在出生时接种一次即可,A.BCG接种能降低儿童发病及其严重性
257,6,7,8,2. 病人在进行化疗过程中出现右下肢肿胀、疼痛，符合深静脉炎表现，次日突感气急、胸闷和心前区痛，成进行性加重，明显发绀，不能平卧，心率120次／分钟，心界向右下扩大，左下呼吸音低，心电图示：窦性心动过速，电轴明显右偏，不完全性右束支传导阻滞，目前最有可能的并发症是：(3.0分),A.肺栓塞 B.急性心机梗死 C.急性左心衰 D.窒息 E.肺癌恶化，压迫大气道,A.肺栓塞
258,6,7,8,3. 下述人群中最易感染结核菌的是： (3.0分),A.AIDS患者人群 B.肺癌患者人群 C.COPD患者人群 D.支气管扩张患者人群,A.AIDS患者人群
259,6,7,8,4. 血胸活动性出血的征象不包括(3.0分),A.穿刺液涂片红细胞与白细胞之比为100:1 B.血红蛋白、血球压积持续降低 C.胸片荫影逐渐增大 D.脉快、血压下降，补液后血压不开或回升后又下降 E.闭式引流量连续3小时，每小时超过200ml,A.穿刺液涂片红细胞与白细胞之比为100:1
260,6,7,8,5. 男性，20岁，1小时前左胸被刀刺伤来诊，血压(70/50mmHg)，面色苍白呼吸困难，左肺呼吸音低，心率快，创口在左腋中线第5肋间，最不可能的诊断是(3.0分),A.开放气胸 B.血胸 C.急性肺损伤、呼吸衰竭 D.心包压塞 E.张力气胸,C.急性肺损伤、呼吸衰竭
261,6,7,8,"6. 女性，65岁。寒战，高热，咳脓痰2天。查体：体温39.2℃，左肺闻及湿音，X线胸片示：左肺下叶大片状致密影，给予抗生素治疗。2天后症状加重，胸痛并呼吸困难并有左上腹痛，左胸呼吸音降低，胸片示左胸腔积液。目前,在治疗中不应该使用的方法是(3.0分)",A.雾化吸入、拍背促进咳痰 B.胸膜腔穿刺 C.应用广谱抗生素 D.胸腔内注入抗生素 E.胸膜腔闭式引流,D.胸腔内注入抗生素
262,6,7,8,7. 下列疾病中为漏出性胸腔积液的是：(3.0分),A.乳糜胸 B.肾病综合征  C.类风湿关节炎 D.肺炎旁积液  ,B.肾病综合征 
263,6,7,8,8. 弥漫性间质性肺疾病肺功能的主要表现为：(3.0分),A.混合性通气功能障碍  B.限制性通气功能障碍伴弥散功能障碍 C. 阻塞性通气功能障碍 D.混合性通气功能障碍伴弥散功能障碍   ,B.限制性通气功能障碍伴弥散功能障碍
264,6,7,8,9. 女性，65岁。寒战，高热，咳脓痰2天。查体：体温39.2℃，左肺闻及湿音，X线胸片示：左肺下叶大片状致密影，给予抗生素治疗。2天后症状加重，胸痛并呼吸困难并有左上腹痛，左胸呼吸音降低，胸片示左胸腔积液。目前考虑为(3.0分),A.　肺炎合并肺脓肿 B.　重症肺炎合并急腹症 C.　　肺炎合并反应性胸膜腔积液 D.　肺炎合并急性脓胸 E.结核性渗出性胸膜腔积液,D.　肺炎合并急性脓胸
265,6,7,8,10. 对人类致病的结核菌主要为： (3.0分),A.牛型结核菌 B.人型结核菌 C.非洲型结核菌 D.鼠型结核菌,B.人型结核菌
266,6,7,8,11. 下列关于胸腺瘤的说法哪项是错误的(3.0分),A.组织学上分上皮细胞型、淋巴细胞型和混合型 B.胸腺瘤是前纵隔最常见的肿瘤 C.胸腺完全可以呈囊性，称为胸腺囊肿 D.胸腺瘤约15%可出现重症肌无力 E.胸腺瘤也可以为恶性，其主要转移方式为血行转移,E.胸腺瘤也可以为恶性，其主要转移方式为血行转移
267,6,7,8,12. 易发生于免疫力极度低下者的结核病类型是： (4.0分),A.继发型肺结核 B.原发型肺结核 C.慢性纤维空洞型肺结核 D.血行播散型肺结核,D.血行播散型肺结核
