,grade,module,week,question_stem,choice,answer
51,6,8,2,1. What structure does NOT belong to the primary visual system (2.0分),A.optic chiasm  B.optic nerve C.visual cortex  D.optic tract  E.suprachiasmatic nucleus ,E.suprachiasmatic nucleus 
52,6,8,2,2. 神经细胞兴奋时，首先产生扩布性action potential的部位是：(2.0分),A.轴突始段 B.树突 C.胞体 D.轴突 E.轴突末梢,A.轴突始段
53,6,8,2,3. 根据"行波学说"，200Hz频率声波引起基底膜最大振幅的部位是(2.0分),A.靠近蜗底   B.基底膜的中点    C.蜗孔  D.靠近蜗顶   E.蜗孔到镫骨底板的中点,D.靠近蜗顶  
54,6,8,2,4. 不用于抗惊厥的药物是(2.0分),A.Chloral hydrate B.Chlorpromazine C.Phenobarbital D.Diazepam E.Magnesium sulfate,B.Chlorpromazine
55,6,8,2,5. 不属于周围性眩晕特征的是：                                      (2.0分),A.水平或旋转性眼震   B.持续时间短暂  C.发作时伴有意识丧失   D.突发旋转性    E.伴波动性耳鸣、耳聋及植物神经症状,C.发作时伴有意识丧失  
56,6,8,2,6. 对癫痫小发作首选的药物是(2.0分),A.Ethosuximide B.Clonazepam C.Phenytoin sodium D.Phenobarbital E.Diazepam,A.Ethosuximide
57,6,8,2,7. 关于癫痫的病因说法错误的是(2.0分),A.症状性癫痫常见病因有中枢神经系统外伤、感染、肿瘤、遗传代谢性疾病，脑皮质发育障碍，以及脑血管疾病等 B.癫痫按照病因学分类可分为症状性癫痫、特发性癫痫和隐源性癫痫 C.老年人中症状性癫痫的常见病因是脑血管病 D.隐源性癫痫占了全部癫痫的绝大部分,D.隐源性癫痫占了全部癫痫的绝大部分
58,6,8,2,8. 下列哪一项不是血管纹的特点(2.0分),A.含有血管 B.覆盖于螺旋韧带表面 C.复层柱状上皮 D.位于椭圆囊外侧壁 E.能分泌产生内淋巴,D.位于椭圆囊外侧壁
59,6,8,2,9. 下列关于全面强直-阵挛性发作的说法，错误的是(2.0分),A.发作时查体可发现瞳孔异常和病理征阳性 B.发作后期脑电图呈明显的脑电抑制 C.通常要经历强直期、阵挛期还有发作后期 D.发作期间无呼吸障碍,D.发作期间无呼吸障碍
60,6,8,2,10. 根据声的物理学基础与听觉的一般特性(2.0分),A.声音的响度也属于发声体发声时的固有特征，具有声音的客观特性。 B.声强、基音、泛音等属于发声体发声时的固有特征，具有声音的客观特性。 C.声音的音调也属于发声体发声时的固有特征，具有声音的客观特性。 D.声强、基音、泛音等是人的听觉器官所引起的主观感受反应，具有声音的主观特性。 E.声音的音色也属于发声体发声时的固有特征，具有声音的客观特性。,B.声强、基音、泛音等属于发声体发声时的固有特征，具有声音的客观特性。
61,6,8,2,11. 肘窝的尖部是由下列结构组成 (2.0分),A.肱二头肌和旋后肌  B.肱桡肌和旋前圆肌  C.旋前圆肌和肱二头肌  D.肱桡肌和旋后肌  E.以上都不是,B.肱桡肌和旋前圆肌 
62,6,8,2,12. 海员刚在航行中遭受暴风雨的袭击，登岸后相当长时间内，仍觉两脚如站在剧烈晃动的船上，此表现属于前庭系统的哪种生理现象：             (2.0分),A.习服现象   B.运动病   C.适应现象   D.前庭功能代偿现象  E.前庭冲动的复制,E.前庭冲动的复制
63,6,8,2,13. 鱼际间隙 (2.0分),A.位于中间鞘内  B.在鱼际鞘内  C.位于拇收肌筋膜的后方  D.内有正中神经返支  E.内有掌浅弓 ,A.位于中间鞘内 
64,6,8,2,14. 与神经末稍递质释放有关的离子是：            (2.0分),A.Ca2+  B.Na+  C.H+  D.K+  E.Cl－,A.Ca2+ 
65,6,8,2,15. 基因研究是精神病研究的焦点吗？(2.0分),A.不是   B.是,B.是
66,6,8,2,16. 关于指髓间隙的叙述，下列哪项是错误的？(2.0分),A.纤维隔将指腹的脂肪分成许多小叶，内有血管和神经 B.位于远节指骨远侧4/5的骨膜与皮肤之间的间隙 C.是一密闭的间隙 D.是指髓与指骨之间的间隙 E.指髓感染后引起剧痛,D.是指髓与指骨之间的间隙
