number,grade,module,week,question_stem,choice,correct_answer
233,6,3,7,1. 呼吸衰竭通常是指(2.0分),A.内呼吸功能障碍 B.二氧化碳排出功能障碍 C.血液携带、运输氧障碍 D.外呼吸功能严重障碍 E.呼吸系统病变造成机体缺氧,D.外呼吸功能严重障碍
234,6,3,7,2. 影响气道阻力增加的主要因素是(2.0分),A.气流速度 B.气道长度和形态 C.气道密度和黏度 D.气道内径 E.气流形式,D.气道内径
235,6,3,7,3. 用于平喘的腺苷受体阻断药是： (2.0分),A.奈多罗米 B.色甘酸钠 C.氨茶碱 D.异丙基阿托品 E.麻黄碱,C.氨茶碱
236,6,3,7,4. Ⅱ型呼吸衰竭血气诊断标准为(2.0分),A.PaCO2高于6.7kPa(50mmHg) B.PAO2低于8.0kPa(60mmHg) C.PaO2低于8.0kPa(60mmHg) D.PAO2<8.0kPa(60mmHg)PaCO2>6.7kPa(50mmHg) E.PaO2<8.0kPa(60mmHg)PaCO2>6.7kPa(50mmHg),E.PaO2<8.0kPa(60mmHg)PaCO2>6.7kPa(50mmHg)
237,6,3,7,5. ARDS的主要发病机制是(2.0分),A.中性粒细胞在肺内化学黏附、激活、释放大量氧自由基和蛋白酶等物质 B.中性粒细胞在肺毛细血管中物理性扣留 C.细胞毒素等直接损伤肺泡-毛细血管膜 D.血小板聚集、微血栓形成导致压力性水肿 E.血小板释放血管活性物质,C.细胞毒素等直接损伤肺泡-毛细血管膜
238,6,3,7,6. 宜与异丙肾上腺素同用的祛痰药是： (2.0分),A.乙酰半胱氨酸 B.喷托维林 C.溴己铵 D.氯化铵 E.色甘酸钠,A.乙酰半胱氨酸
239,6,3,7,7. 慢性缺氧时引起组织细胞的代偿性反应有(2.0分),A.糖酵解增强 B.细胞利用氧的能力增强 C.肌红蛋白增加 D.低代谢状态 E.以上都是,E.以上都是
240,6,3,7,8. 急性低张性缺氧时机体的主要代偿方式是(2.0分),A.心肌收缩性减弱 B.心率减慢 C.肺通气量和心输出量增加 D.脑血流量减少 E.腹腔内脏血流量增加,C.肺通气量和心输出量增加
241,6,3,7,9. 呼吸衰竭发生肾功能不全的最重要机制是(2.0分),A.缺氧直接损伤肾脏功能 B.并发心功能不全 C.反射性肾血管收缩 D.并发DIC E.并发休克,C.反射性肾血管收缩
242,6,3,7,10. 下列关于糖皮质激素抗炎作用的正确叙述是(2.0分),A.促进创口愈合 B.能提高机体的防御功能 C.对抗各种原因如物理、生物等引起的炎症 D.抑制病原体生长 E.直接杀灭病原体,C.对抗各种原因如物理、生物等引起的炎症
243,6,3,7,11. 肺分流一般不易引起PaCO2增高是由于：   (2.0分),A.肺通气增加；  B.CO2弥散 O2弥散力；  C.分流血液中CO2通过肺泡排出；  D.气道阻力 ；  E.碳酸酐酶活性增加。  ,A.肺通气增加； 
244,6,3,7,12. 某患者既往健康，因急性肺水肿入院，血液检查：pH7.02，PaCO2 8.0kPa (60 mmHg)，PaO2 5.32kPa (40mmHg)，[HCO3-]  15mmol/L，属于哪一类酸碱平衡失调？ (2.0分),A.慢性呼吸性酸中毒； B.代谢性酸中毒； C.急性呼吸性酸中毒； D.低氧血症； E.急性呼酸合并代酸。,E.急性呼酸合并代酸。
245,6,3,7,13. 患者，63岁，慢性咳嗽8年，有肺气肿征，近一周来黄痰不易咯出，气促加重，发绀，血气分析pH 7.31，PaCO2 66 mmHg， PaO2 52 mmHg。如何改善该患者的缺氧(2.0分),A.呼气末立即正压人工呼吸 B.低浓度持续给氧 C.间歇吸入纯氧 D.立即吸入高浓度氧 E.用双氧水静脉内给氧,B.低浓度持续给氧
246,6,3,7,14. 下列哪项是诊断成人呼吸窘迫综合征的前提？  (2.0分),A.胸廓、肺顺应性下降；  B.进行性呼吸困难，呼吸频率20次/min以上； C.排除由慢性肺部疾病及左心疾病引起的肺水肿；  D.X线检查肺纹理增加，斑片状阴影；  E.顽固性低氧血症，吸纯氧15min后PaO2仍低于46.7kPa(350mmHg)。,C.排除由慢性肺部疾病及左心疾病引起的肺水肿； 
247,6,3,7,15. 应用呼吸机对ARDS患者治疗的最佳通气模式是(2.0分),A.控制通气 B.压力支持通气 C.同步间歇指令通气 D.呼气末正压通气  E.同步间歇正压通气,D.呼气末正压通气 
248,6,3,7,16. 慢性阻塞性肺疾患发生呼吸衰竭的中心环节是(2.0分),A.有效肺泡通气量减少 B.支气管黏膜水肿 C.肺顺应性下降 D.小气道阻塞 E.肺组织弹性下降,D.小气道阻塞
249,6,3,7,17. 可待因主要用于治疗： (2.0分),A.肺炎引起的咳嗽 B.剧烈的刺激性干咳 C.上呼吸道感染引起的咳嗽 D.支气管哮喘 E.多痰、粘痰引起的剧咳,B.剧烈的刺激性干咳
250,6,3,7,18. ARDS时形成肺水肿的主要发病环节是：(2.0分),A.肺微血管内静水压上升； B.肺血管收缩，肺动脉高压；  C.血浆胶体渗透压下降； D.肺淋巴回流障碍； E.肺泡-毛细血管膜损伤，使通透性增高。,E.肺泡-毛细血管膜损伤，使通透性增高。
251,6,3,7,19. 肺组织弥散功能障碍时引起单纯缺氧是由于(2.0分),A.氧的弥散能力是二氧化碳的1/30 B.氧的弥散能力是二氧化碳的30倍 C.氧的弥散能力是二氧化碳的20倍 D.氧的弥散能力是二氧化碳的1/20 E.氧的弥散能力是二氧化碳1/10,D.氧的弥散能力是二氧化碳的1/20
252,6,3,7,20. 对于PaO2 55 mmHg，PaCO2 60 mmHg的慢性支气管炎患者，最适宜的吸氧浓度为(2.0分),A.35%~40% B.10%~45% C.51%~60% D.25%~35% E.10%~50%,D.25%~35%
