,grade,module,week,question_stem,choice,correct_answer
84,6,6,3,1. 男性，50岁，3年前曾行胆总管切开取石术，现持续黄疸一个月，肝大肋下3cm，血清胆红素为70μmol.L，BUS显示胆总管直径2cm，下述何种检查方法是最优： (3.0分),A.低张性十二指肠造影 B.静脉法胆道造影术 C.口服法胆囊造影术 D.CT E.PTC,E.PTC
85,6,6,3,2. 男性，15岁，突发心窝部阵发性钻顶样疼痛6小时，疼痛时大汗淋漓，辗转不安，痛止时又平息如常，体检：剑突偏右方有深在压痛，无腹肌紧张及反跳痛，为明确诊断应采取简单安全的方法是(3.0分),A.测定血清淀粉酶 B.右上腹X线平片 C.BUS D.十二指肠引流液检查 E.ERCP,C.BUS
86,6,6,3,3. 女性，42岁，3年来经常夜间上腹部不适，2日前进油腻食，突然右上腹部阵发性绞痛伴恶心，入院时体温38℃，巩膜轻度黄染，右上腹肌紧张，压痛明显，肠鸣音减弱，WBC16×10的9次方/L，血清淀粉酶为128温氏单位，应首先考虑诊断为何种疾病(3.0分),A.急性化脓性胆囊炎 B.急性胰腺炎 C.溃疡病穿孔 D.高位急性阑尾炎 E.胆道蛔虫症,A.急性化脓性胆囊炎
87,6,6,3,4. 女性，47岁，胆囊结石病史4年，曾先后发作性胆绞痛4次，BUS显示胆囊内充满型结石。首选的治疗方法是下列哪一种(3.0分),A.口服利胆素片 B.口服排石饮液 C.胆囊切除术 D.口服熊去氧胆酸片 E.经皮胆镜取石术,C.胆囊切除术
88,6,6,3,5. 男性，43岁，突然右上腹绞痛，并出现寒战高热，于16小时后出现明显黄疸。检查：意识尚清楚，巩膜及周身黄染，BP130/70mmHg，体温38.5℃，右上腹轻度压痛，此病最可能为(3.0分),A.Charcot征 B.Murphy征 C.Courvoisier征 D.Grey-Turner征 E.Reynauld征,A.Charcot征
89,6,6,3,6. 男性，52岁，右上腹痛已半年，近半个月出现黄疸，体重下降，食欲减退。既往患胆囊结石已5年。检查：巩膜及全身皮肤黄染，右上腹扪及的6cm×6cm肿块，无移动性，BUS显示胆囊部位有一实质性占位病变，并可见强光团及声影。此病人可能的诊断是(3.0分),A.胆囊癌并胆囊结石 B.高位胆管癌 C.胆囊息肉 D.充满型胆囊结石,A.胆囊癌并胆囊结石
90,6,6,3,7. 急性梗阻性化脓性胆管炎的治疗一般不宜采取(3.0分),A.纠正水电解质和酸碱平衡失调 B.胆总管探查取石去除病灶 C.使用有效足量的抗生素 D.胆囊造瘘术 E.及时合理使用多巴胺,D.胆囊造瘘术
91,6,6,3,"8. A  54-year-old  male  alcoholic  presents  with  the  sudden  onset  of severe, constant epigastric pain that radiates to his midback. Further evaluation  finds  fever,  steatorrhea,  and  discoloration  around  his  flank  and umbilicus.  Laboratory  tests  find  elevated  serum  levels  of  amylase  and lipase. What is the most likely cause of these findings?(3.0分)",A.Acute appendicitis B.Acute diverticulitis C.Acute cholecystitis D.Acute cholangitis E.Acute pancreatitis,E.Acute pancreatitis
92,6,6,3,"9. A 45-year-old obese woman with cholelithiasis presents to the emergency room complaining of nausea and vomiting for 2 days, along with severe continuous midabdominal pain. She has a low-grade fever and the ER physician finds that she has a slightly elevated WBC count (12,000) and an elevated serum amylase. The most likely diagnosis is(3.0分)",A.Peptic ulcer disease B.Hepatitis C.Ruptured abdominal aortic aneurysm D.Early phase of acute appendicitis E.Acute pancreatitis,E.Acute pancreatitis
93,6,6,3,10. A 35-year-old woman presents with pancreatitis. Subsequent endoscopic retrograde cholangiopancreatography (ERCP) reveals the congenital cystic anomaly of her biliary system illustrated in the film below. Which of the following statements regarding this problem is true? (3.0分),"A.Treatment consists of internal drainage via choledochoduodenostomy B.Cystic dilation of the intrahepatic biliary tree may coexist and is managed in a similar fashion C.Most patients present with the classic triad of epigastric pain, an abdominal mass, and jaundice D.Malignant changes may occur within this structure E.Surgery should be reserved for symptomatic patients",D.Malignant changes may occur within this structure
94,6,6,3,11. 肝外胆道的解剖特点中，下列哪项是错误的(3.0分),A.Oddi括约肌由胆胰管壶腹部括约肌构成 B.胆囊管常有变异 C.胆囊动脉常有变异 D.胆总管末端多与主胰管汇合 E.胆囊分为颈体底三部,A.Oddi括约肌由胆胰管壶腹部括约肌构成
