,grade,module,week,question_stem,choice,correct_answer
157,6,6,5,1. 李娜，女，4岁，发现"左乳房增大2月"就诊。有大量服用中药以及补品史以及误服避孕药史。B超提示：左侧乳腺组织增生，子宫卵巢幼稚型，体检发现左乳B2期，乳晕颜色较深。该女童最可能的诊断是：(2.0分),A.单纯乳房早发育 B.部分性性早熟 C.周围性性早熟 D.中枢性性早熟 E. "小青春期",C.周围性性早熟
158,6,6,5,2. 下面哪项是SLE的表现？ (2.0分),A.腕、掌指、近指关节受累 B.颊部蝶形皮疹及蛋白尿 C.膝关节受累 D.第一趾较剧烈疼痛 E.大量龋齿提示,B.颊部蝶形皮疹及蛋白尿
159,6,6,5,3. 早期前列腺癌影像表现为：(2.0分),A.MR T2WI 高信号的外周带内低信号结节  B.CT平扫前列腺局部结节样凸出  C.增强CT扫描前列腺周边结节样低增强  D.超声前列腺横经大于5cm，内部回声不均  E.MR 脂肪抑制T1W序列扫描前列腺中心区高信号结节,A.MR T2WI 高信号的外周带内低信号结节 
160,6,6,5,4.  哪一项不是应用激素的指征：(2.0分),A.川崎病伴冠状动脉瘤 B.类风湿关节炎伴心包炎 C.风湿性心脏炎 D.系统性红斑狼疮 E.过敏性紫癜伴有消化道症状,A.川崎病伴冠状动脉瘤
161,6,6,5,5. 对于生长激素缺乏症患儿，需用生长激素治疗，其剂量是： (2.0分),A.0.1U/kg/d B.0.05U/kg/d C.0.15U/kg/d D.0.2U/kg/d E.0.25U/kg/d,A.0.1U/kg/d
162,6,6,5,6. 怀疑前列腺癌病人CT检查可以(2.0分),A.发现骨转移  B.与其他前列腺病变鉴别  C.为早期病变分期  D.发现早期病变  E.除外前列腺被膜侵犯,A.发现骨转移 
163,6,6,5,7. 患儿，20天，出生体重4公斤，嗜睡，吃奶少，便秘，查体：皮肤黄染，前囟4*3厘米，心肺听诊无殊，腹略胀，脐疝，肝、脾肋下未及，神经系统（-）。该患儿可能的疾病是：   (2.0分),A.新生儿败血症 B.粘多糖1型 C.先天性甲状腺功能低下症 D.新生儿溶血症 E.先天性巨结肠,C.先天性甲状腺功能低下症
164,6,6,5,8. 下面哪个自身抗体特异性高，但与SLE活动性无关? (2.0分),A.抗双链DNA抗体 B.抗核抗体 C.抗SSA抗体 D.抗Sm抗体 E.抗SSB抗体,D.抗Sm抗体
165,6,6,5,9. 引起先天性甲状腺功能减低症最常见的原因(2.0分),A.甲状腺不发育或发育不全 B.甲状腺靶器官反应低下 C.碘缺乏 D.酶缺乏 E.促甲状腺激素缺陷,A.甲状腺不发育或发育不全
166,6,6,5,10. 患儿 男 ，3个月， 孕43周娩出。 出生体重4200g。  生后少哭，少动，哭声低哑，喂奶量少，便秘，黄疸持续1个月消退，现不会抬头。查体：T35℃，嗜睡，反应迟钝，眼距稍宽，鼻梁宽平，舌大，皮肤干，毛发稀少，无中毒貌，腹胀，脐疝。心电图：各导联低电压，T波低平。该疾病最可能的诊断： (2.0分),A.败血症 B.先天性巨结肠 C.佝偻病 D.先天性甲状腺功能低下 E.先天愚型,D.先天性甲状腺功能低下
