,grade,module,week,question_stem,choice,answer
67,6,7,3,1. 经皮球囊二尖瓣成形术的禁忌症为：(2.5分),A.重度二尖瓣狭窄 B.二尖瓣狭窄伴心房颤动 C.二尖瓣狭窄伴轻度主动脉瓣反流 D.二尖瓣狭窄伴轻度二尖瓣反流 E.二尖瓣狭窄伴左心房血栓,E.二尖瓣狭窄伴左心房血栓
68,6,7,3,2. 下列哪一项表现不符合动脉导管未闭 (2.5分),A.右心导管检查示肺动脉血氧含量高于右心室 B.胸骨左缘上方连续性"机器"样杂音 C.水冲脉、指甲床毛细血管搏动 D.X线正位片检查示主动脉结缩小 E.合并肺高压时可出现下半身青紫,D.X线正位片检查示主动脉结缩小
69,6,7,3,3. You would be likely to observe the lowest heritability score in(2.5分),A.Cystic fibrosis B.Cleft lip/palate C.Spina bifida D.Mumps E.Congenital heart disease,D.Mumps
70,6,7,3,4. X线检查风湿病患者的心脏呈"梨形"的心瓣膜病是(2.5分),A.主动脉瓣狭窄 B.二尖瓣狭窄 C.二尖瓣关闭不全 D.主动脉瓣关闭不全 E.二尖瓣狭窄并关闭不全,B.二尖瓣狭窄
71,6,7,3,5. 风湿病最具有诊断意义的病变是(2.5分),A.Aschoff小体形成  B.心外膜纤维蛋白性渗出 C. 心瓣膜纤维组织增生 D.胶原纤维的纤维蛋白样坏死 E.心肌间质的粘液样变性,A.Aschoff小体形成 
72,6,7,3,6. 女孩，3个月。体检发现胸骨左缘第2～3肋间有Ⅱ～Ⅲ级收缩期杂音。经超声心动图证实为房间隔缺损。下列哪项描述不正确 (2.5分),A.体循环血流量减少 B.肺循环血流量增多 C.右心房压力大于左心房 D.右心血流量多 E.右心室压力增高,C.右心房压力大于左心房
73,6,7,3,7. 关于人工瓣膜，以下错误的是(2.5分),A.机械瓣使用寿命长 B.生物瓣不需要终生抗凝 C.生物瓣使用寿命长 D.机械瓣可能出现卡瓣、瓣膜失灵 E.生物瓣适用于老年患者,C.生物瓣使用寿命长
74,6,7,3,8. 法洛四联症杂音描述不正确的是 (2.5分),A.胸骨左缘2～4肋间Ⅱ～Ⅲ/Ⅵ粗糙收缩期杂音 B.肺动脉第2音减弱 C.病变越重杂音越响 D.杂音为肺动脉狭窄所致 E.肺动脉瓣区可闻及来源于主动脉的单一响亮的第二音,C.病变越重杂音越响
75,6,7,3,9. 下列关于风湿性心脏病的结局哪一项是错误的？(2.5分),A.主动脉瓣环扩大 B.心肌间质形成小瘢痕 C.心包纤维性粘连 D.二尖瓣增厚缩短  E.左心房后壁心内膜增厚,A.主动脉瓣环扩大
76,6,7,3,10. 正常胎儿血循环，下列哪一部位血氧含量最高(2.5分),A.脐动脉 B.脐静脉 C.右心房 D.右心室 E.主动脉,B.脐静脉
77,6,7,3,11. 下列哪项不符合室间隔缺损伴肺动脉高压时的表现(2.5分),A.左、右心室显著增大 B.肺动脉第二音显著亢进 C.右心室压力显著升高 D.原心脏杂音增强 E.X线示肺动脉段明显突出,D.原心脏杂音增强
78,6,7,3,12. 染色体22q11.2微缺失（microdeletion）未发现于下列哪一种常染色体显性遗传病? (2.5分),A.velocardiofacial syndrome B.DiGeorge syndrome C.Huntington disease D.conotruncal anomaly face syndrome,C.Huntington disease
79,6,7,3,13. 风湿细胞的来源是(2.5分),A.淋巴细胞 B.心肌细胞 C.血管内皮细胞 D.组织细胞 E.纤维母细胞,D.组织细胞
80,6,7,3,14. 下列哪一种先心病会形成代偿性支气管动脉侧支循环(2.5分),A.室间隔缺损 B.法洛四联症 C.房间隔缺损 D.Roger病 E.动脉导管未闭,B.法洛四联症
81,6,7,3,15. 急性感染性心内膜炎的赘生物中，不具有的成分是(2.5分),A.大量中性粒细胞 B.坏死组织 C.纤维蛋白 D.细菌菌落 E.多量肉芽组织,E.多量肉芽组织
82,6,7,3,16. 下列风湿性病变中哪一项对机体危害最大？(2.5分),A.反复发作的风湿性心内膜炎 B.反复发作的风湿性关节炎 C.风湿性皮下结节 D.反复发作的风湿性心包炎 E.风湿性动脉炎,A.反复发作的风湿性心内膜炎
83,6,7,3,17. 行心脏粘液瘤摘除手术时，以下哪项是错误的(2.5分),A.应手指探查肿瘤的部位 B.应在体外循环下摘除 C.应尽早摘除 D.手术过程应避免损伤瘤体 E.应彻底将瘤体连同蒂部附着的房间隔组织一并切除,A.应手指探查肿瘤的部位
84,6,7,3,18. 引起先天性心脏病的常见因素不包括下列哪些(2.5分),A.染色体畸变 B.宫内感染 C.服用药物 D.放射线接触 E.母亲患有前置胎盘,E.母亲患有前置胎盘
85,6,7,3,19. 下列哪些为室间隔缺损的特点(2.5分),A.X线示心影呈"靴状" B.缺损大的可产生梗阻型肺动脉高压 C.缺损很小的必产生动力型肺高压 D.于胸骨左缘第3、4肋间可听到连续性杂音 E.P2固定分裂,B.缺损大的可产生梗阻型肺动脉高压
86,6,7,3,20. 存活的紫绀型先天性心脏病中最为常见的是哪种 (2.5分),A.动脉导管未闭 B.室间隔缺损 C.房间隔缺损 D.肺动脉瓣狭窄 E.法洛四联症,E.法洛四联症
87,6,7,3,21. 下列哪项不会引起心瓣膜病？(2.5分),A.亚急性细菌性心内膜炎 B.风湿热  C.系统性红斑狼疮 D.良性高血压  E.第三期梅毒,D.良性高血压 
88,6,7,3,22. 左乳内动脉最常用于哪一支冠脉的旁路移植(2.5分),A.右冠状动脉 B.后降支 C.钝缘支 D.前降支 E.锐缘支,D.前降支
89,6,7,3,23. 以右室舒张期负荷加重为主的先天性心脏病是(2.5分),A.动脉导管未闭 B.肺动脉瓣狭窄 C.房间隔缺损 D.室间隔缺损 E.法洛四联症,C.房间隔缺损
90,6,7,3,24. 下列哪项不是二尖瓣狭窄的常见并发症：(2.5分),A.右心衰竭 B.肺部感染 C.心房颤动 D.急性左心衰 E.肺栓塞,E.肺栓塞
91,6,7,3,25. 女孩，9岁半。患动脉导管未闭合并梗阻型肺动脉高压，临床上出现发绀。该患儿发绀的特点为 (2.5分),A.学龄期后开始出现发绀 B.6个月左右或生后不久开始出现发绀 C.无发绀 D.生后不久即出现下肢较上肢轻的发绀 E.学龄期后期出现下半身较明显的差异性发绀,E.学龄期后期出现下半身较明显的差异性发绀
92,6,7,3,26. 下列哪一项不属于风湿性心脏病二尖瓣狭窄的继发病变？(2.5分),A.左心室肥大扩张 B.淤血性脾肿大  C.肺褐色硬化 D.槟榔肝 E.下肢浮肿,B.淤血性脾肿大 
93,6,7,3,27. 下列哪种病症早期不仅不会导致左心室肥大甚至略为缩小？(2.5分),A.二尖瓣关闭不全 B.主动脉瓣关闭不全 C.梅毒心脏病  D.二尖瓣狭窄  E.高血压,E.高血压
94,6,7,3,28. 下列情况中，哪一种最易发生右心衰竭？(2.5分),A.高血压性心脏病 B.冠状动脉性心脏病 C.主动脉瓣口狭窄 D.二尖瓣狭窄 E.主动脉瓣关闭不全,D.二尖瓣狭窄
95,6,7,3,29. 动脉导管未闭的周围血管征不包括(2.5分),A.脉压增宽 B.指甲床毛细血管搏动 C.水冲脉 D.股动脉枪击音 E.脉压减小,E.脉压减小
96,6,7,3,30. 下列哪些不是法洛四联症的畸形组成(2.5分),A.主动脉骑跨 B.左心室肥厚 C.右心室肥厚 D.室间隔缺损 E.右室流出道梗阻,B.左心室肥厚
