,grade,module,week,question_stem,choice,answer
220,6,8,7,1. 下列哪项不是干性坐骨神经痛的表现(3.0分),A.跟腱反射减弱或消失  B.小腿及足外侧感觉障碍  C.咳嗽及喷嚏时疼痛明显加重  D.沿坐骨神经走行疼痛  E.直腿抬高试验阳性,C.咳嗽及喷嚏时疼痛明显加重 
221,6,8,7,2. 关 于 网 膜 孔 的 叙 述 ，下 列 哪 项 是 错 误 的(3.0分),A.其 上 界  是 肝 的 尾 状 叶 B.其 前 方  为 肝 十 二 指 肠 韧 带 C.它 的 后 界 是 门 静 脉 D.它 是 大 腹 膜 腔 通 入 网 膜 囊 有 孔 道 E.其 下 界 为 十 二 指 肠 球 部,C.它 的 后 界 是 门 静 脉
222,6,8,7,3. Diazepam不具有下列哪一项作用? (3.0分),A.镇静、催眠作用 B.抗抑郁作用 C.抗焦虑作用 D.抗惊厥作用 E.中枢性肌肉松弛作用,B.抗抑郁作用
223,6,8,7,4. 关于氯胺酮静脉麻醉，下列说法哪项错误(3.0分),A.氯胺酮复合麻醉可用于各部位手术  B.氯胺酮可扩张支气管，常用于支气管哮喘病人  C.氯胺酮麻醉尤适用于小儿麻醉  D.氯胺酮麻醉常用于短小体表手术  E.氯胺酮可使血压升高，常用于严重休克及心功能衰竭的病人 ,E.氯胺酮可使血压升高，常用于严重休克及心功能衰竭的病人 
224,6,8,7,5. 不属于病理性疼痛引起痛觉过敏的中枢机制的有 (3.0分),A.抑制作用的减弱 B.突触后兴奋性的增加 C.伤害性感受器的敏感化 D.突触前神经递质释放的增加 E.小胶质细胞和星型胶质细胞释放神经调质的调节,C.伤害性感受器的敏感化
225,6,8,7,6. 关于硫喷妥钠，下列哪项错误(3.0分),A.具有抗惊厥作用  B.使脑血流量减少，脑耗氧量降低  C.使迷走神经作用相对增强  D.对循环有明显抑制作用  E.其超短效作用是因为代谢快,E.其超短效作用是因为代谢快
226,6,8,7,7. 经过霍夫曼（Hofmann）消除的药物是 (3.0分),A.维库溴铵  B.阿曲库铵  C.筒箭毒碱  D.琥珀胆碱  E.泮库溴铵 ,B.阿曲库铵 
227,6,8,7,8. 下列哪项不是氯胺酮的作用(3.0分),A.血压升高、心率增快  B.降低颅内压  C.增加眼内压  D.扩张支气管  E.唾液分泌增加 ,B.降低颅内压 
228,6,8,7,9. 用于抢救苯二氮艹卓类药物过量中毒的药物是 (3.0分),A.Chlorpromazine B.Chloral hydrate（水合氯醛） C.Flumazenil（氟马西尼） D.Naloxone E.Atropine,C.Flumazenil（氟马西尼）
229,6,8,7,10. 下例不是急性应激障碍的特点是：(3.0分),A.内容常涉及心因与个人经历 B.精神运动性兴奋与抑制 C.可出现意识障碍 D.病程一般不超过3个月 E.精神症状的发生与应激事件有时间上的紧密联系,D.病程一般不超过3个月
230,6,8,7,11. 腹 膜 与 腹  盆 腔 脏 器 的 关 系(3.0分),A.位 于 腹 膜 腔 之 内 的 脏 器 称 腹 膜 内 位 器 官 B.腹 膜 外 位 器 官 仅 一 面 被 腹 膜 覆 盖 C.位 于 脏 腹 膜 与 壁 腹 膜 之 间 的 脏 器 称 间 位 器 官 D.腹 膜 内 位 器 官 的 各 面 均 无 腹 膜 覆 盖 E.以 上 都 不 是,B.腹 膜 外 位 器 官 仅 一 面 被 腹 膜 覆 盖
231,6,8,7,12. 以下关于神经性厌食的叙述哪一条是对的(3.0分),A.神经性厌食患者多知道自己体重过低、进食过少是病态，常主动就医。 B.神经性厌食者因食欲减退而不愿进食。 C.多数患者存在体像障碍，即使十分消瘦仍认为自己胖。 D.神经性厌食患者病前多存在程度不等的内分泌与代谢障碍。,C.多数患者存在体像障碍，即使十分消瘦仍认为自己胖。
232,6,8,7,13. Which one in the following does not belong to cortical dementia?(3.0分),A.Alzheimer dementia  B.Huntington dementia  C.Parkinson dementia  D.Parkinson’s plus syndrome,A.Alzheimer dementia 
233,6,8,7,14. 癌痛的三阶梯用药原则以下哪项不正确 (3.0分),A.用药个体化 B.按需给药 C.口服给药 D.阶梯给药 E.辅助用药,B.按需给药
234,6,8,7,15. 关于睡行症，以下哪些是对的(3.0分),A.每次发作历时数分钟到半小时 B.患者发作时呈朦胧状态或中度混浊状态，表现出低水平的注意力、反应性及运动技能。可在室内走动，做一些较复杂的动作 C.睡行症通常发生于入睡后的2－3小时内 D.事后对发作过程常能回忆 E.多见于男孩,D.事后对发作过程常能回忆
235,6,8,7,16. 进食良好状态，下列代谢途径不活跃，除了： (3.0分),A.丙氨酸-葡萄糖循环 B.糖异生 C. 糖有氧氧化 D.乳酸循环,C. 糖有氧氧化
