number,grade,module,week,question_stem,choice,correct_answer
151,7,1,3,1. 决定药物每天用药次数的主要因素是(2.0分),A.作用强弱 B.吸收速度 C.消除速度 D.血浆蛋白结合率 E.起效快慢,C.消除速度
152,7,1,3,2. 按一级动力学消除的药物，其血浆半衰期（t1/2）等于（注：Ke = 消除速率常数）(2.0分),A.Ke/2.303 B.0.693/Ke C.Ke/0.693 D.2.303/Ke E.0.301/Ke,B.0.693/Ke
153,7,1,3,3. 药物吸收到达血浆稳态浓度时意味着 (2.0分),A.药物作用最强 B.药物的吸收速度与消除速度达到平衡 C.药物的消除过程正开始 D.药物的吸收过程已完成 E.药物在体内分布达到平衡,B.药物的吸收速度与消除速度达到平衡
154,7,1,3,4. 某药物在口服和静脉注射相同剂量后的时量曲线下面积(AUC)相等，这意味着(2.0分),A.口服吸收迅速 B.口服吸收完全 C.口服药物未经肝门脉吸收 D.口服和静脉注射可以取得同样生物效应 E.属一房室分布模型,B.口服吸收完全
155,7,1,3,5. 绝对口服生物利用度等于(2.0分),A. (口服一定量药物后Cmax / 静脉注射等量药物后Cmax) × 100％ B. (口服一定量药物后AUC / 静脉注射等量药物后AUC) × 100％ C. (静脉注射一定量药物后AUC / 口服等量药物后AUC) × 100％ D. (静脉注射一定量药物后Cmax / 口服等量药物后Cmax) × 100％ E. (口服一定量药物后Tmax / 静脉注射等量药物后Tmax) × 100％,B. (口服一定量药物后AUC / 静脉注射等量药物后AUC) × 100％
156,7,1,3,6. 某药的表观分布容积为40 L，如欲立即达到4 mg/L。的稳态血药浓度，应给的负荷剂量是(2.0分),A.13 mg B.100 mg C.50 mg D.25 mg E.160 mg,E.160 mg
157,7,1,3,7. 某药在体内按一级动力学消除，在其吸收达高峰后抽血两次，测其血浆浓度分别为150  g/ml及18.75  g/ml，两次抽血间隔9小时，该药的血浆半衰期是 (2.0分),A.3小时 B.1.5小时 C.2小时 D.1小时 E.4小时,A.3小时
158,7,1,3,8. 某催眠药的消除速率常数（Ke）为0.35/h，设静脉注射后病人入睡时血药浓度为l mg/L，当病人醒转时血药浓度为0.125 mg/L，问病人大约睡了多久？(2.0分),A.9小时 B.6小时 C.8小时 D.4小时 E.10小时,B.6小时
159,7,1,3,9. 某药消除符合一级动力学，t1/2为4小时，在固定间隔固定剂量多次给药后，经过下述哪一时间即可达到血浆稳态浓度?(2.0分),A.约30小时 B.约10小时 C.约40小时 D.约20小时 E.约50小时,D.约20小时
160,7,1,3,10. 负荷剂量是(2.0分),A.达到一定血药浓度的剂量 B.一半稳态血药浓度的剂量 C.一半有效血药浓度的剂量 D.达到有效血药浓度的剂量 E.维持有效血药浓度的剂量,D.达到有效血药浓度的剂量
161,7,1,3,11. 一级动力学消除的药物，如按恒定的剂量每隔1个半衰期给药1次时，为了迅速达到稳态血浓度可将首次剂量 (2.0分),A.增加0.5倍 B.增加3倍 C.增加2倍 D.增加1倍 E.增加4倍,D.增加1倍
162,7,1,3,12. 有关特异质反应说法正确的是 (2.0分),A.通常与遗传变异有关 B.发生与否取决于药物剂量 C.是一种常见的不良反应 D.多数反应比较轻微 E.是一种免疫反应,A.通常与遗传变异有关
163,7,1,3,13. 安慰剂一般指(2.0分),A.由药理活性较弱的物质制成的制剂 B.由本身没有特殊药理活性的物质（乳糖、淀粉等）制成的外形似药的制剂 C.本身没有特殊作用的医疗措施（如假手术等） D.有一定治疗作用的医疗措施 E.对病人做的安慰、鼓励等心理治疗,B.由本身没有特殊药理活性的物质（乳糖、淀粉等）制成的外形似药的制剂
164,7,1,3,14. 关于药物相互作用说法不正确的是(2.0分),A.可改变药物的体内过程 B.可能表现为药理作用的改变 C.有时表现为毒性反应的增强 D.在两种或两种以上药物同时应用时出现 E.机体对药物的反应性改变,D.在两种或两种以上药物同时应用时出现
165,7,1,3,15. 反复多次用药后，人体对该药的反应性逐渐降低，称为 (2.0分),A.耐受性 B.耐药性 C.依赖性 D.成瘾性 E.个体差异性,A.耐受性
166,7,1,3,16. 长期用药后病人对药物产生主观和客观上需要连续用药的现象，称为 (2.0分),A.耐受性 B.依赖性 C.快速耐受性 D.耐药性 E.个体差异性,B.依赖性
167,7,1,3,17. 药物是 (2.0分),A.能影响机体生理功能的物质 B.能干扰细胞代谢活动的化学物质 C.一种化学物质 D.用以防治及诊断疾病的物质 E.有滋补营养、保健作用的物质,D.用以防治及诊断疾病的物质
168,7,1,3,18. 药理学是研究(2.0分),A.药物效应动力学 B.药物与机体相互作用的规律与原理 C.药物的学科 D.药物代谢动力学 E.与药物有关的生理科学,B.药物与机体相互作用的规律与原理
169,7,1,3,19. 药效学是研究(2.0分),A.药物在体内的过程 B.药物的疗效 C.药物对机体的作用规律  D.影响药效的因素 E.药物的作用规律,C.药物对机体的作用规律 
170,7,1,3,20. 多数药物只影响机体的少数生理功能，这种特性称为 (2.0分),A.选择性 B.有效性 C.耐受性 D.安全性 E.敏感性,A.选择性
171,7,1,3,21. 药物的选择作用取决于 (2.0分),A.药物化学特性 B.药动学特性 C.药效学特性 D.三者均对 E.三者均不对,C.药效学特性
172,7,1,3,22. 药物作用的两重性指 (2.0分),A.既有对因治疗作用，又有对症治疗作用 B.既有副作用，又有毒性作用 C.既有局部作用，又有全身作用 D.既有治疗作用，又有不良反应 E.既有原发作用，又有继发作用,D.既有治疗作用，又有不良反应
