,grade,module,week,question_stem,choice,correct_answer
51,6,6,2,1. The Calot's Triangle is bounded by except: (3.0分),A.Cystic duct.                                        B.The common hepatic duct.                            C.The left hepatic duct. D.The inferior border of the liver. E.None of above.,C.The left hepatic duct.
52,6,6,2,2. 目前对小肝癌定位诊断的各种方法中最优者是： (3.0分),A.CT检查                                          B.B型超声显象仪检查 C.选择性腹腔动脉或肝动脉造影                       D.放射性核素肝扫描 E.磁共振成象,C.选择性腹腔动脉或肝动脉造影                      
53,6,6,2,3. 女性，57岁，CT示肝左外叶8cm占位，伴门静脉左支栓塞，肝肾功能正常，首选治疗方案：(3.0分),A.全身化学治疗和中医治疗 B.经肝动脉化学治疗和栓塞 C.手术切除 D.肝肿瘤局部无水酒精注射 E.生物治疗,C.手术切除
54,6,6,2,4. 肝内胆管出血部位不明可采用： (3.0分),A.胃大部切除                                      B.肝固有动脉结扎及胆总管引流 C.三腔管压迫                                      D.肝叶切除 E.肝固有动脉结扎,B.肝固有动脉结扎及胆总管引流
55,6,6,2,5. 一名49岁男性，因右季肋部疼痛半月余，加重一天入院，以往健康，检查时发现血HBsAg阳性，AFP500ug/L。支持患原发性肝癌最有意义的体征是：(3.0分),A.肝区可闻及摩擦音 B.肝脏质地硬，有压痛 C.肝区可闻及血管杂音                              D.肝右肋下约4.0cm                                 E.肝区有明显叩击痛,C.肝区可闻及血管杂音                             
56,6,6,2,6. 中晚期肝癌最常见的体征是：(3.0分),A.肝肿大                                            B.腹胀 C.肝区痛                                            D.下肢浮肿 E.皮下出血,A.肝肿大                                           
57,6,6,2,7. B超显示肝内"牛眼征"常见于下列哪一种疾病(3.0分),A.肝脓肿  B.转移性肝癌  C.原发性肝癌  D.肝囊肿  E.肝包虫病 ,B.转移性肝癌 
58,6,6,2,8. Couinaud分段法将肝脏分为8段，其中尾状叶在(3.0分),A.Ⅴ段  B.Ⅰ段  C.Ⅱ段  D.Ⅲ段  E.Ⅷ段 ,B.Ⅰ段 
59,6,6,2,9. 早期肝癌是指瘤体:(3.0分),A.界限清楚无出血  B.3cm以下，不超过2个  C.微小而多个  D.单个有包膜  E.以上都是 ,B.3cm以下，不超过2个 
60,6,6,2,10. 可造成感染慢性化的肝炎病毒是：(3.0分),A.肝炎病毒A、B、E  B.肝炎病毒A、B、C  C.肝炎病毒A、C、D  D.肝炎病毒B、C、D  E.肝炎病毒C、D、E,D.肝炎病毒B、C、D 
61,6,6,2,11. 对疑有早期原发性肝癌的患者，应首先用哪一种方法检查较好：(3.0分),A.血清甲胎蛋白动态观察检查  B.肝区超声波检查  C.血清γˉ谷氨酰转肽酶  D.同位素肝扫描  E.选择性肝动脉造影 ,A.血清甲胎蛋白动态观察检查 
62,6,6,2,12. 肝硬化引起门脉高压的临床表现是：(3.0分),A.黄疸、腹水、侧枝循环的建立与开放  B.腹水、脾肿大、肾功能衰竭  C.黄疸、腹水、脾肿大  D.腹水、脾肿大、侧枝循环的建立与开放  E.腹水、上消化道出血、侧枝循环的建立与开放 ,D.腹水、脾肿大、侧枝循环的建立与开放 
63,6,6,2,13. 下列哪种机制与肝性脑病发生无关？ (3.0分),A.氨基酸失衡学说 B.氨中毒学说 C.假神经递质学说 D.GABA/BZ复合体学说 E.水钠潴留,E.水钠潴留
64,6,6,2,14. 下列不属于兴奋性神经递质的是(3.0分),A.乙酰胆碱 B.去甲肾上腺素 C.γ-氨基丁酸 D.门冬氨酸 E.多巴胺,C.γ-氨基丁酸
65,6,6,2,15. 门脉高压是指门脉压力超过 (3.0分),A.20cm H2O B.40cm H2O C.10cm H2O D.30cm H2O E.50cm H2O,A.20cm H2O
66,6,6,2,16. 在我国和西方国家，造成肝硬化的最主要原因是分别是 (3.0分),A.乙型肝炎和丙型肝炎 B.乙型肝炎和非酒精性脂肪性肝病 C.丙型肝炎和非酒精性脂肪性肝病 D.丙型肝炎和乙型肝炎 E.非酒精性脂肪性肝病和丙型肝炎,B.乙型肝炎和非酒精性脂肪性肝病
67,6,6,2,17. 肝硬化的并发症不包括 (4.0分),A.原发性肝癌 B.上消化道出血 C.肝肺综合征 D.肝性脑病 E.尿崩症,E.尿崩症
68,6,6,2,18. 男性，45岁，因患肝硬化腹水用速尿后尿量每日超过2000ml，近日出现四肢肌肉软弱无力，伴恶心呕吐，心电图出现传导和节律异常，其原因最可能是 (3.0分),A.低钾血症 B.低钠血症 C.高钾血症 D.高钠血症 E.低镁血症,A.低钾血症
69,6,6,2,19. 关于肝硬化的叙述中正确的是(3.0分),A.肝功能不全可表现为脾脏肿大 B.门脉高压可表现为出血倾向 C.亚急性重症病毒性肝炎多发展为门脉性肝硬化 D.病变特点是肝细胞坏死、纤维组织增生和假小叶形成 E.肝硬化不发生癌变,D.病变特点是肝细胞坏死、纤维组织增生和假小叶形成
70,6,6,2,20. 下列属于肝硬化门脉高压表现的是(3.0分),A.蜘蛛痣 B.肝掌 C.脾肿大 D.肝肿大 E.男性乳房发育,C.脾肿大
71,6,6,2,21. 肝硬化患者出现消化道出血时，下列可诱发肝性脑病的是(3.0分),A.静脉注射止血药 B.水电解质紊乱致低钾血症 C.输生理盐水 D.内镜下止血 E.口服去甲肾上腺素,B.水电解质紊乱致低钾血症
72,6,6,2,22. 查体于肿大的肝脏表面听到血管杂音时，应考虑 (3.0分),A.门脉血栓形成 B.原发性肝癌 C.布加综合征 D.肝硬化失代偿期 E.慢性肝炎,B.原发性肝癌
73,6,6,2,23. 男性，38岁，患肝硬化3年，一周来畏寒发热，体温38℃左右，全腹痛，腹部明显膨胀，尿量500ml/d。住院后经检查有以下体征，对目前病情判断最有意义的是 (3.0分),A.脾肿大 B.腹壁静脉曲张呈海蛇头样 C.蜘蛛痣及肝掌 D.全腹压痛及反跳痛 E.腹部移动性浊音阳性,D.全腹压痛及反跳痛
74,6,6,2,24. 下列关于门脉性肝硬化特点的叙述，不正确的是(3.0分),A.结节大小较均匀            B.病变可继续发展使结节形态不规则 C.病变早期结节间的纤维间隔较细 D.可由酒精性肝病发展而来 E.结节直径多大于3mm,E.结节直径多大于3mm
75,6,6,2,25. 与肝细胞性肝癌相比，下列哪项不是胆管细胞性肝癌的特点？(3.0分),A.大体观呈灰白色  B.AFP呈阴性表达 C.产生胆汁  D.老年多见 E.多不伴有肝硬化,C.产生胆汁 
76,6,6,2,"26. Portal hypertension in cirrhosis is caused by the following, except for(3.0分)",A.compression of central vein and branches of hepatic vein by expansile parenchyma nodules B.elevated level of blood ammonia C.increased resistance to portal flow at the level of the sinsoids D.renal retension of sodium and water due to secondary hyperaldostenosis E.anastomoses between the arterial and portal veins,B.elevated level of blood ammonia
77,6,6,2,27. Fatty change is most likely appeared in hepatitis of:(3.0分),A.HDV B.HCV C.HAV D.HBV E.HEV,B.HCV
78,6,6,2,28. Which of the following statement about hepatitis A virus is incorrect ?(3.0分),A.no carrier states  B.dose not cause cirrhosis C.fecal-oral transmission D.cause chronic hepatitis E.no connection with hepatocellular carcinoma,D.cause chronic hepatitis
79,6,6,2,29. 目前认为乙型肝炎病毒引起肝细胞损害的主要机制是：(3.0分),A.病毒直接破坏肝细胞膜 B.病毒代谢产物的损害作用 C.病毒损坏肝细胞的线粒体 D.病毒激活机体细胞免疫反应损害病毒感染的肝细胞 E.通过抗原抗体反应激活补体,D.病毒激活机体细胞免疫反应损害病毒感染的肝细胞
80,6,6,2,30. 慢性肝炎或HBsAg携带者电镜下见HBsAg主要存在于：(3.0分),A.线粒体 B.高尔基体 C.滑面内质网内 D.核糖体 E.核内,C.滑面内质网内
81,6,6,2,31. 急性重型肝炎（急性肝萎缩）与亚急性重型肝炎（亚急性肝萎缩）肉眼观形态主要区别是：(3.0分),A.有无再生结节形成 B.肝实质黄染的程度 C.肝包膜皱缩的程度  D.肝体积缩小的程度 E.出血程度,A.有无再生结节形成
82,6,6,2,32. 不属于肝硬化门脉高压的临床表现的是：(3.0分),A.蜘蛛痣 B.淤血性脾肿大 C.腹水 D.胃肠道淤血 E.食管下段静脉曲张,A.蜘蛛痣
83,6,6,2,33. 肝硬化并发肝性脑病的主要原因是：(3.0分),A.并发感染引起 B.凝血机制障碍所至出血 C.体内雌激素水平升高 D.代谢性酸中毒 E.血氨升高或中枢神经系统氨基酸代谢紊乱,E.血氨升高或中枢神经系统氨基酸代谢紊乱
363,7,6,2,1. 25.B超显示肝内"牛眼征"常见于下列哪一种疾病 (2.5分),A.转移性肝癌  B.肝脓肿  C.肝囊肿  D.原发性肝癌  E.肝包虫病 ,A.转移性肝癌 
364,7,6,2,2. 下列哪种机制与肝性脑病发生无关？ (2.5分),A.假神经递质学说 B.氨中毒学说 C.GABA/BZ复合体学说 D.氨基酸失衡学说 E.水钠潴留,E.水钠潴留
365,7,6,2,3. 早期肝癌是指瘤体 (2.5分),A.微小而多个  B.单个有包膜  C.界限清楚无出血  D.3cm以下，不超过2个  E.以上都是 ,D.3cm以下，不超过2个 
