number,grade,module,week,question_stem,choice,correct_answer
193,6,3,6,1. 根据下列哪项可确诊支气管扩张症(2.5分),A.反复咳嗽 B.长期咳嗽、咳痰 C.肺部湿啰音 D.支气管碘油造影 E.肺广泛纤维化,D.支气管碘油造影
194,6,3,6,2. 易形成透明膜的肺炎是(2.5分),A.支原体肺炎 B.百日咳性肺炎  C.麻疹病毒性肺炎 D.小叶性肺炎 E.呼吸道合胞病毒性肺炎,C.麻疹病毒性肺炎
195,6,3,6,3. Which one can against severe infection caused by MRSA (methicillin resistant staphylococcus aureus): (2.5分),A.Penicillin G B.Cefuroxime  C.Oxacillin D.Vacomycin,D.Vacomycin
196,6,3,6,4. 引起支气管扩张最重要的病变基础是(2.5分),A.肺纤维化 B.支气管壁因炎症遭到破坏 C.肺不张 D.支气管相关淋巴组织显著增生  E.肺实变,B.支气管壁因炎症遭到破坏
197,6,3,6,5. 引起肺气肿最重要的原因是(2.5分),A.尘肺 B.吸烟 C.慢性阻塞性细支气管炎 D.小气道感染  E.空气污染,C.慢性阻塞性细支气管炎
198,6,3,6,6. 下列哪项不符合小叶性肺炎(2.5分),A.多发生在儿童及年老体弱者 B.支气管壁破坏较为严重，易合并支气管扩张 C.多数患者为其他疾病的合并症 D.可累及整个肺大叶 E.病变以肺小叶为单位，呈灶状散在分布,D.可累及整个肺大叶
199,6,3,6,7. 鼻咽癌最常见于鼻咽(2.5分),A.前壁 B.顶部 C.外侧壁 D.咽隐窝 E.前壁和咽隐窝,B.顶部
200,6,3,6,8. 导致慢性不可逆性气道阻塞的肺疾病是(2.5分),A.支原体肺炎 B.慢性支气管炎 C.硅肺 D.大叶性肺炎 E.病毒性肺炎,B.慢性支气管炎
201,6,3,6,9. 下列哪项不符合小细胞性肺癌的特点(2.5分),A.细胞小、排列密集，由结缔组织加以分割 B.多发生于肺周边部 C.分化程度低，恶性度高  D.部分肿瘤细胞浆内有神经内分泌颗粒 E.起源于Kultschitsky细胞,B.多发生于肺周边部
202,6,3,6,10. The underlying mechanism for Chloroquine controlling the malarial symptoms is (2.5分),A.Chloroquine kills the schizonts in erythrocytic stage  B.Chloroquine kills the schizonts in exoerythrocytic stage  C.Chloroquine kills the schizonts in exoerythrocytic and erythrocytic stage  D.Chloroquine is gametocidal against the four human malaria species,A.Chloroquine kills the schizonts in erythrocytic stage 
203,6,3,6,11. Which one can inhibit the synthesis of bacterial cell wall?(2.5分),A.Erythromycin B.Ampicillin C.Gentamicin D.Tetracycline,B.Ampicillin
204,6,3,6,12. 下列病毒中有（　　）不引起呼吸系统感染(2.5分),A.流感病毒 B.柯萨奇病毒 C.腺病毒 D.疱疹病毒,D.疱疹病毒
