,grade,module,week,question_stem,choice,answer
101,6,8,3,1. 下列物质均为毒品，除外     (5.0分),A.海洛因  B.大麻 C.咖啡因 D.可卡因 E.鸦片,C.咖啡因
102,6,8,3,2. 与肱骨外科颈关系最密切的是(5.0分),A.肩胛下神经和旋肩胛血管 B.腋神经和旋肱前血管 C.桡神经和肱深血管 D.腋神经和旋肱后血管 E.臂后皮神经和肱深血管,D.腋神经和旋肱后血管
103,6,8,3,3. 坐骨神经在臀部的体表投影是(5.0分),A.坐骨结节与股骨大转子连线中、内1/3交点至股骨内、外侧髁之间中点的连线 B.坐骨结节与股骨大转子连线中、外1/3交点至股骨内、外侧髁之间中点的连线 C.髂后上棘与股骨大转子之间的连线 D.髂后上棘至股骨大转子连线的上、中1/3交点 E.髂后下棘至股骨大转子连线的上、中1/3交点,A.坐骨结节与股骨大转子连线中、内1/3交点至股骨内、外侧髁之间中点的连线
104,6,8,3,4. 患者因"闷闷不乐，呆滞伴乏力1月"来诊。精神检查发现患者情绪低落，自责并坚持认为自己犯了严重错误，连累家人和同事，造成无法弥补的错误。该患者目前可能存在(5.0分),A.虚无妄想 B.罪恶妄想 C.被害妄想 D.疑病妄想 E.以上都不对,B.罪恶妄想
105,6,8,3,5. 痴呆是先天发育不全引起的吗？(5.0分),A.不是  B.是,A.不是 
106,6,8,3,6. 长期大量饮酒者如突然断酒，震颤谵妄常出现在断酒(5.0分),A.12小时后 B.72小时后 C.24小时后  D.48小时后 E.8小时后,D.48小时后
107,6,8,3,7. 对谵妄性躁狂的描述，下列哪项不正确(5.0分),A.是发作严重的躁狂表现 B.可以出现意识障碍 C.临床症状中可以出现片段幻觉和冲动行为 D.在疾病早期患者常可以存在自知力 E.患者存在思维不连贯的现象,D.在疾病早期患者常可以存在自知力
108,6,8,3,8. 感染是精神病的原因之一吗？ (5.0分),A.不是   B.是,B.是
109,6,8,3,9. 患者出现严重的近记忆力障碍，错构、虚构和定向力障碍，此为     (5.0分),A.精神发育迟滞 B.Korsakoff综合征 C.Wernick脑病  D.老年性痴呆 E.Ganser氏综合征,B.Korsakoff综合征
110,6,8,3,10. 出现在大脑内的幻听是真性幻听吗？(5.0分),A.不是  B.是,A.不是 
111,6,8,3,11. 桡神经 (5.0分),A.起自臂丛后束，支配三角肌  B.起自臂丛后束，穿肱二头肌  C.起自臂丛外侧束，支配肱三头肌  D.起自臂丛后束，穿旋前圆肌  E.穿肱骨肌管与肱深血管伴行 ,E.穿肱骨肌管与肱深血管伴行 
112,6,8,3,12. 精神症状的出现受患者自己控制吗(5.0分),A.不是  B.是 ,A.不是 
113,6,8,3,13. 腘窝 (5.0分),A.腘动脉走在腘静脉浅面  B.腘静脉走在胫神经浅面  C.腘动脉走在胫神经浅面  D.腘静脉界于胫神经和腘动脉之间  E.腘静脉位于腓总神经深面 ,D.腘静脉界于胫神经和腘动脉之间 
114,6,8,3,14. 穿三边孔的结构(5.0分),A.腋神经及腋血管  B.旋肩胛动脉及胸背神经  C.腋神经及旋肱后动脉  D.旋肱前动脉  E.以上都不对 ,E.以上都不对 
115,6,8,3,15. 未来精神病学发展中，神经递质是主要的领域吗？ (5.0分),A.不是   B.是,B.是
116,6,8,3,16. 何者不参与肌腱袖的形成？(5.0分),A.大圆肌肌腱 B.冈下肌肌腱 C.小圆肌肌腱 D.冈上肌肌腱 E.肩胛下肌肌腱,A.大圆肌肌腱
117,6,8,3,17. 与坐骨神经关系最密切的肌是(5.0分),A.半膜肌 B.大收肌 C.半腱肌 D.股二头肌 E.阔筋膜张肌,D.股二头肌
118,6,8,3,18. 关于胫后动脉的说法，下列哪一项正确 (5.0分),A.发出一腓深动脉 B.有一同名静脉伴行 C.有一同名神经伴行 D.下行于小腿后区浅、深肌肉之间 E.发腓动脉分支至腓骨及小腿外侧部诸肌,D.下行于小腿后区浅、深肌肉之间
119,6,8,3,1. 心境障碍的病因学研究表明（ ）对疾病发生有明显影响(5.0分),A.年龄因素 B.生物学因素 C.社会心理因素 D.遗传因素 E.躯体因素,B.生物学因素 C.社会心理因素 D.遗传因素
120,6,8,3,2. 下列哪些是躁狂发作的临床症状(5.0分),A.自我评价过高或夸大 B.思维联想困难或自觉思考能力下降 C.意志活动增强，精力旺盛，兴趣广泛 D.心境高涨或易激惹 E.睡眠需求减少,A.自我评价过高或夸大 C.意志活动增强，精力旺盛，兴趣广泛 D.心境高涨或易激惹 E.睡眠需求减少
336,7,8,3,1. 桡神经  (3.0分),A.起自臂丛后束，穿旋前圆肌  B.起自臂丛后束，穿肱二头肌  C.起自臂丛外侧束，支配肱三头肌  D.起自臂丛后束，支配三角肌  E.穿肱骨肌管与肱深血管伴行 ,E.穿肱骨肌管与肱深血管伴行 
337,7,8,3,2. 穿三边孔的结构 (3.0分),A.腋神经及腋血管  B.旋肱前动脉  C.腋神经及旋肱后动脉  D.旋肩胛动脉及胸背神经  E.以上都不对 ,E.以上都不对 
