,grade,module,week,question_stem,choice,correct_answer
327,6,4,8,"1. A 21-year-old diabetic athletic woman on a lowdose oral contraceptive comes to your clinic with irregular menses and galactorrhea. On examination, galactorrhea is confirmed, with fat globules seen microscopically. She currently takes metoclopramide (Reglan) for delayed gastric emptying. A random serum prolactin level is 65 ng/mL. Which of the following is most likely responsible for her hyperprolactinemia? (2.0分)",A.oral contraceptive B.pregnancy C.metoclopramide D.pituitary adenoma E.exercis,C.metoclopramide
328,6,4,8,2. 研究妇女保健工作的最主要目的？(2.0分),A.使妇女能获得特殊关注 B.减少并控制危害妇女健康的疾病;保障妇女生殖健康 C.妇女病能得到免费治疗 D.能实施我国的计划生育措施。,B.减少并控制危害妇女健康的疾病;保障妇女生殖健康
329,6,4,8,3. 目前我国开展婚检的主要目的是：(2.0分),A.检查准备结婚的双方是否患有影响生育的严重疾病 B.检查准备结婚的双方是否患有严重的精神性疾病。 C.检查准备结婚的双方是否患有严重遗传性疾病 D.检查准备结婚的双方是否存在传染病。 E.以上都是,E.以上都是
330,6,4,8,4. 下列哪项不属于辅助生育技术(2.0分),A.IVF/ET B.TCT  C.PGD D.AIH E.ICSI,B.TCT 
331,6,4,8,5. 排卵后在体内卵子的寿命是(2.0分),A.2～3天 B.12小时 C.24小时 D.6小时 E.3～5天,C.24小时
332,6,4,8,"6. An 18-year-old woman comes to your clinic with irregular cycles since menarche and mild hirsutism. She is not interested in pregnancy or contraception. Her serum TSH, prolactin, and dehydroepiandrosterone sulfate (DHEAS) levels are normal, with a slightly elevated serum testosterone level of 80 ng/dL. Which of the following is the most appropriate next step for this patient? (2.0分)",A.GnRH stimulation test B.endometrial biopsy C.oral contraceptive treatment D.clomiphene citrate E.bromocriptine,C.oral contraceptive treatment
333,6,4,8,7. A 25-year-old woman suffers a severe intrapartum hemorrhage. Which of the following symptoms is evidence of pituitary infarction? (2.0分),A.infrequent urination B.lactation failure C.easy bruisability D.diarrhea E.perspiration,B.lactation failure
334,6,4,8,8. 子宫颈癌最常发生于(2.0分),A.宫颈管粘膜上皮     B.宫内膜化生的鳞状上皮 C.宫颈鳞状上皮  D.宫颈鳞状上皮和柱状上皮交界处  E.子宫颈腺体,D.宫颈鳞状上皮和柱状上皮交界处 
335,6,4,8,9. 女性不孕因素中最常见的病因是(2.0分),A.输卵管因素 B.无排卵 C.子宫内膜异位症 D.子宫颈糜烂 E.子宫肌瘤,A.输卵管因素
336,6,4,8,10. 雌激素类的药理作用中，不包括(2.0分),A.增强子宫平滑肌对缩宫素的敏感性 B.能明显促进蛋白质合成，减少蛋白质分解 C.使阴道上皮增生，浅表层细胞角化  D.促进女性性器官的发育和成熟，维持女性第二性征。 E.较大剂量时可抑制下丘脑-垂体系统释放GnRH,B.能明显促进蛋白质合成，减少蛋白质分解
337,6,4,8,"11. A 42-year-old G2P2 woman presents with very profuse menstrual bleeding. Her menses occurs every 28 days. She noted that the bleeding became worse after the birth of her last child and it has increased in severity over the last two years. She has a history of 2 Cesarean sections. She is currently taking combination oral contraceptives, which were started six months ago by her family physician. On pelvic examination, the uterus is normal in size and no adnexal masses are noted. Her hemoglobin is 11.9 mg/dl, hematocrit 35.1%. Pelvic sonography reveals a normal appearing uterus and a normal appearing endometrial echo. The ovaries appear normal without adnexal masses. Endometrial biopsy revealed a secretory endometrium. The patient is unhappy with the current therapy and wants a new and more definitive treatment. Which of the following would be the best long-term treatment?(2.0分)",A.Dilatation and Curettage B.Endometrial ablation C.Laparoscopic myomectomy D.Leuprolide acetate E.Cyclic Progestins,B.Endometrial ablation
338,6,4,8,12. 下列哪个药物适用于催产和引产 (2.0分),A.麦角毒 B.麦角新碱 C.垂体后叶素 D.缩宫素 E.麦角胺,D.缩宫素
339,6,4,8,13. 孕产妇死亡率统计指标中哪项说法是不正确的？(2.0分),A.孕产妇死亡指标计算通常以10万分娩量作为基数。 B.孕产妇死亡率的指标是反应该国家或地区经济医疗水平的指标。 C.孕产妇死亡率指标计算：分子是当地某一时段的孕产妇死亡人数，分母是当地同一时段所有的孕产妇数。 D.孕产妇死亡率较高的地区死亡产科因素的死亡构成比较高，死亡率低的地区以非产科因素构成比较高。,C.孕产妇死亡率指标计算：分子是当地某一时段的孕产妇死亡人数，分母是当地同一时段所有的孕产妇数。
340,6,4,8,"14. In addition to history and physical examination, which of the following help to differentiate anatomical causes of abnormal uterine bleeding from dysfunctional uterine bleeding? (2.0分)",A.Daily FSH levels B.Basal body temperatrue chart C.Endometrial biopsy  D.Daily prolactin levels,C.Endometrial biopsy 
341,6,4,8,15. 关于促进母乳喂养成功的措施中哪些是错误的？(2.0分),A.孩子一出生尽早和母亲皮肤接触，吸吮母亲乳头。 B.正常新生儿4个月内除母乳外不需要给孩子添加任何辅助食物甚至水。 C.产后24小时和母亲同室 D.孩子出生后养成定时哺乳的习惯。  ,D.孩子出生后养成定时哺乳的习惯。  
342,6,4,8,16. A patient with hypogonadotropic hypogonadism desires ovulation. What is the initial treatment of choice? (2.0分),A.hMG therapy B.cyclic progesterone C.low-dose estrogen therapy D.bromocriptine mesylate E.clomiphene citrate,A.hMG therapy
343,6,4,8,"17. A 15-year-old girl is seen in the emergency department. She has a sudden onset of heavy vaginal bleeding. She has noted irregular, painless vaginal bleeding of 6 months' duration. Her past medical history is unremarkable, and she is not sexually active. Physical and pelvic examinations are normal, but blood is coming through the cervical os. A serum pregnancy test is negative, and hematocrit is 37% (normal, 35 to 45%). Of the following, which is the best course of immediate action? (2.0分)",A.progesterone therapy B.estrogen therapy C.observation D.nonsteroidal anti-inflammatory therapy E.D&C,B.estrogen therapy
