,grade,module,week,question_stem,choice,correct_answer
51,6,5,2,1. 感染的含义是：(2.0分),A.病原体通过传播媒介进入人体 B.病原体侵入人体的过程 C.病原体对人体的寄生过程 D.人体被病原体侵入 E.人体抵抗力下降而被病原体入侵,C.病原体对人体的寄生过程
52,6,5,2,2. 病原体侵入人体后先起作用的非特异性免疫因素是(2.0分),A.吞噬细胞 B.白细胞介素 C.致敏T淋巴细胞 D.干扰素 E.肿瘤坏死因子,A.吞噬细胞
53,6,5,2,3. 外周血嗜酸性粒细胞减少的传染病是 (2.0分),A.甲型肝炎 B.肾综合征出血热 C.乙型脑炎 D.伤寒 E.急性细菌性痢疾,D.伤寒
54,6,5,2,4. 外周血白细胞数常明显增高的病毒性传染病是 (2.0分),A.水痘 B.流行性感冒 C.艾滋病 D.肾综合征出血热 E.风疹,D.肾综合征出血热
55,6,5,2,5. 通过接触疫水传播的传染病是 (2.0分),A.恙虫病 B.华支睾吸虫病 C.流行性腮腺炎 D.囊虫病  E.钩体病,E.钩体病
56,6,5,2,6. 不属于传染病的是： (2.0分),A.莱姆病 B.黑热病 C.斑疹伤寒 D.耳源性脑膜炎 E.白日咳,D.耳源性脑膜炎
57,6,5,2,7. 通过粪－口途径传播的传染病是(2.0分),A.百日咳 B.白喉 C.麻疹  D.阿米巴病 E.乙型病毒性肝炎,D.阿米巴病
58,6,5,2,8. 属于病原体侵袭力的是 (2.0分),A.白喉毒素 B.霍乱肠毒素 C.伤寒沙门菌脂多糖 D.使霍乱弧菌黏附于肠黏膜表面的成分 E.以上都不是,D.使霍乱弧菌黏附于肠黏膜表面的成分
59,6,5,2,9. 下列哪项不为传染源 (2.0分),A.潜伏性感染 B.隐性感染 C.显性感染  D.病原携带状态 E.受感染的动物,A.潜伏性感染
60,6,5,2,10. 患病后可获得持久免疫力的传染病是(2.0分),A.艾滋病 B.伤寒 C.阿米巴痢疾 D.丙型肝炎 E.细菌性痢疾,B.伤寒
61,6,5,2,11. 血浆凝固酶可以(2.0分),A.由表皮葡萄球菌产生 B.促进细菌在体内扩散 C.水解透明质酸 D.增强细菌抗吞噬能力,D.增强细菌抗吞噬能力
62,6,5,2,12. 关于链球菌感染后的风湿热，下述哪项是错误的(2.0分),A.发病与A群链球菌感染有关 B.发病机制可能与III型超敏反应有关 C.发病机制可能与II型超敏反应有关 D.病灶标本中分离培养出链球菌可作为诊断指标,D.病灶标本中分离培养出链球菌可作为诊断指标
