number,grade,module,week,question_stem,choice,correct_answer
201,7,1,4,1. 关于萎缩哪项是错误的：  (2.0分),A.可以恢复 B.间质不减少，有时可增生 C.营养缺乏供血不足等均可引起萎缩 D.凡是比正常小的器官组织或细胞 E.重量减轻,D.凡是比正常小的器官组织或细胞
202,7,1,4,2. 全身营养不良时，首先发生萎缩的组织是 (2.0分),A.肝实质 B.脂肪组织 C.心肌 D.骨骼肌 E.脑组织,B.脂肪组织
203,7,1,4,3. 下列哪项属生理性萎缩？ (2.0分),A.垂体功能低下引起的肾上腺萎缩 B.垂体坏死引起的乳腺萎缩 C.授乳后乳腺组织的复旧 D.小儿麻痹症引起的下肢萎缩 E.动脉粥样硬化引起的脑萎缩,C.授乳后乳腺组织的复旧
204,7,1,4,4. 萎缩是指： (2.0分),A.由于器官、组织发育不良致器官体积比正常小 B.细胞体积比正常小 C.器官体积比正常小 D.由于组织、细胞大量破坏而体积缩小 E.发育正常的器官、组织、细胞体积变小 ,E.发育正常的器官、组织、细胞体积变小 
205,7,1,4,5. 脂褐素的形成累及哪一个细胞器？(2.0分),A.光面内质网 B.粗面内质网 C.线粒体 D.高尔基器 E.溶酶体,E.溶酶体
206,7,1,4,6. 下列哪项属代偿性肥大？(2.0分),A.甲状腺机能亢进患者的甲状腺肿大 B.哺乳期乳腺 C.妊娠子宫 D.地方性甲状腺肿 E.一侧肾切除、对侧肾肿大,E.一侧肾切除、对侧肾肿大
208,7,1,4,8. 支气管粘膜上皮出现鳞状上皮属于？(2.0分),A.不典型增生 B.不完全再生 C.癌初期改变 D.分化不良 E.适应性改变,E.适应性改变
209,7,1,4,9. 一种分化成熟的组织转变为另一种分化成熟的组织称(2.0分),A.机化 B.再生 C.增生 D.分化 E.化生 ,E.化生 
210,7,1,4,10. 男，50岁，有长期吸烟史，因发热咳痰入院。痰检发现，痰内脱落的气管粘膜上皮部分为鳞状上皮，细胞无异型性，此病变可能为：(2.0分),A.气管上皮先天性发育异常 B.气管上皮的食管上皮化生 C.气管上皮的鳞状化生 D.气管上皮的异型增生 E.以上都不是 ,C.气管上皮的鳞状化生
211,7,1,4,11. 细胞和组织的损伤性变化是： (2.0分),A.变性 B.增生 C.化生  D.肥大                                       E.再生 ,A.变性
212,7,1,4,"12. 男, 28岁，因肝肿大, 肝功能异常而入院。 临床诊断为急性普通型肝炎, 此时患者肝的病变最可能是： (2.0分)",A.肝细胞透明变性 B.肝细胞大片坏死 C.肝细胞气球样变 D.肝细胞碎片状坏死 E.以上都不是 ,C.肝细胞气球样变
213,7,1,4,13. 下列哪一种变性最轻:(2.0分),A.脂肪变性                                    B.粘液样变性 C.细胞水肿  D.纤维素样变性 E.玻璃样变性 ,C.细胞水肿 
214,7,1,4,14. 肾近曲小管细胞水肿时，细胞浆内细小颗粒是：(2.0分),A.凝固的蛋白质 B.增多的溶酶体 C.扩张的高尔基体 D.脱落的核糖体 E.肿胀的线粒体和扩张的内质网 ,E.肿胀的线粒体和扩张的内质网 
215,7,1,4,15. 最常见的变性是：(2.0分),A.脂肪变性 B.细胞水肿 C.玻璃样变性 D.纤维素样变性 E.粘液样变性 ,B.细胞水肿
216,7,1,4,16. 细胞水肿和脂肪变性主要发生在： (2.0分),A.肺，脾，肾 B.心，脾，肺 C.肝，肾，脾 D.心，肝，肾 E.心，肝，胃 ,D.心，肝，肾
217,7,1,4,17. 细胞水肿常见于：(2.0分),A.肝细胞 B.脂肪细胞 C.纤维细胞 D.神经细胞 E.中性粒细胞 ,A.肝细胞
218,7,1,4,18. 气球样变的肝细胞中，下列哪项改变是错误的 (2.0分),A.内质网扩张囊泡变 B.细胞内糖原增多 C.细胞内水分增多 D.线粒体肿胀，嵴消失 E.核蛋白体颗粒脱失 ,B.细胞内糖原增多
219,7,1,4,19. 易发生干性坏疽的器官是(2.0分),A.心肌 B.肠道 C.四肢 D.肺 E.子宫 ,C.四肢
220,7,1,4,20. 电镜下，脂肪变性的脂滴形成于 (2.0分),A.溶酶体内 B.线粒体内 C.高尔基器内 D.内质网中 E.胞核中,D.内质网中
221,7,1,4,21. 梗死后液化性坏死常见于 (2.0分),A.肾 B.肺 C.脑 D.心 E.肝 ,C.脑
222,7,1,4,22. 虎斑心是指：(2.0分),A.心肌细胞凝固性坏死                         B.心肌细胞水样变性 C.心肌间脂肪组织浸润 D.心肌细胞脂肪变性  E.心肌细胞内脂褐素沉着 ,D.心肌细胞脂肪变性 
