,grade,module,week,question_stem,choice,correct_answer
147,6,4,4,1. 下列哪一项不属于下丘脑调节肽(2.0分),A.抗利尿激素 B.促性腺激素释放激素 C.生长抑素 D.促甲状腺激素释放激素 E.促肾上腺皮质激素释放激素,A.抗利尿激素
148,6,4,4,"2. On electron microscopy, the most characteristic feature of component cells of the zona fasciculat is (2.0分)",A.well-developed RER and numerous mitochondria B.numerous SER and RER   C.well-developed SER and numerous mitochondria D.well-developed SER and numerous mitochondria with tubular cristae and lipid droplets E.well-developed RER and numerous mitochondria with tubular cristae and lipid droplets,D.well-developed SER and numerous mitochondria with tubular cristae and lipid droplets
149,6,4,4,3. 内分泌系统的反馈调节是指：  (2.0分),A.神经系统对内分泌系统的调节 B.免疫系统对内分泌系统的调节  C.内分泌系统对神经系统的调节 D.下丘脑-垂体-靶腺之间的相互调节,D.下丘脑-垂体-靶腺之间的相互调节
150,6,4,4,4. 垂体神经部分泌 (2.0分),A.促甲状腺素 B.促肾上腺皮质激素 C.抗利尿激素和催产素 D.生长激素 E.卵泡刺激素,C.抗利尿激素和催产素
151,6,4,4,5. 与甲状腺功能减退(hypothyroidism)发生无关的因素是(2.0分),A.手术切除或放射线治疗损伤过多正常甲状腺组织 B.自身免疫性损伤 C.慢性淋巴细胞性甲状腺炎 D.TGI抗体,D.TGI抗体
152,6,4,4,"6. In pars nervosa of hypophysis, Herring bodies are composed of (2.0分)",A.dendrite of neuron B.dendrite of neuron C.groups of neurosecretory granules D.neuroglial cell E.axon of neuron,C.groups of neurosecretory granules
153,6,4,4,7. 成人生长素分泌过多将导致： (2.0分),A.甲状腺肿 B.腺瘤 C.粘液水肿 D.侏儒症 E.肢端肥大症,E.肢端肥大症
154,6,4,4,8. 长期大量注射氢化可的松时主要可引起血中：(2.0分),A.血钙升高 B.ACTH↓ C.血糖下降 D.红细胞减少 E.CRH↑,B.ACTH↓
155,6,4,4,9. 糖皮质激素用于严重感染的目的在于(2.0分),A.有抗菌和抗毒素作用 B.由于加强心肌收缩力，帮助病人度过危险期 C.具有中和抗毒作用，提高机体对毒素的耐受力 D.利用其强大的抗炎作用，缓解症状，使病人度过危险期 E.消除危害机体的炎症和过敏反应,C.具有中和抗毒作用，提高机体对毒素的耐受力
156,6,4,4,10. 促进胰高血糖素分泌的主要因素是：(2.0分),A.低血糖 B.高血糖 C.血中氨基酸增多 D.血中脂肪酸减少 E.迷走神经兴奋,A.低血糖
157,6,4,4,11. 关于激素的正确概念是(2.0分),A.直接作用于靶细胞膜受体而起作用  B.只能加强靶细胞的功能活动 C.由内分泌细胞产生的具有生物活性的物质   D.每种激素对其他激素的作用均无影响,C.由内分泌细胞产生的具有生物活性的物质  
158,6,4,4,12. Thyroid hormone作用的主要机制是(2.0分),A.与核受体结合，促进cGMP生成 B.与核受体结合，刺激mRNA生成  C.与膜受体结合，促进cAMP生成 D.与膜受体结合，抑制cAMP生成,B.与核受体结合，刺激mRNA生成 
159,6,4,4,13. 糖皮质激素抗炎作用的基本机制是(2.0分),A.稳定溶酶体膜 B.减轻渗出、水肿、毛细血管扩张等炎症反应 C.抑制毛细血管和纤维母细胞的增生 D.影响了参与炎症的一些基因转录 E.增加肥大细胞颗粒的稳定性,D.影响了参与炎症的一些基因转录
160,6,4,4,14. 非肾上腺皮质增生所引起的临床表现是(2.0分),A.低血糖 B.高血压 C.满月脸 D.低血钾,A.低血糖
161,6,4,4,15. 将动物去除双侧肾上腺后，容易引起死亡的原因是(2.0分),A. "应激"反应能力过强 B.水盐代谢紊乱和物质代谢紊乱 C.儿茶酚胺缺乏引起的血管功能紊乱 D.失去"应急"反应能力 E.以上都对,B.水盐代谢紊乱和物质代谢紊乱
162,6,4,4,16. Insulin的适应证有(2.0分),A.糖尿病合并酮症酸中毒 B.口服降血糖药无效的非胰岛素依赖性糖尿病 C.重症糖尿病（1型）   D.糖尿病合并严重感染 E.以上都是,E.以上都是
163,6,4,4,17. 关于糖尿病病因和发病机制的论述，下列说法正确的是：(2.0分),A.主要与遗传及免疫因素有关  B.环境因素导致胰岛素分泌不足 C.遗传与环境因素共同参与其发病过程 D.遗传易感性是其主要发病因素,C.遗传与环境因素共同参与其发病过程
164,6,4,4,18. 下列关于催产素的叙述，哪一项是错误的？(2.0分),A.由神经垂体释放 B.促进妊娠子宫收缩 C.促进妊娠期乳腺生长发育 D.由下丘脑合成 E.促进哺乳期乳腺排乳,C.促进妊娠期乳腺生长发育
165,6,4,4,19. Wolff-Chaikoff效应是指：(2.0分),A.过量的碘所产生的抗甲状腺效应 B.过量的酪氨酸所产生的抗甲状腺效应 C.缺乏碘而产生的抗甲状腺效应 D.缺乏酪氨酸产生的抗甲状腺效应 E.碘和酪氨酸缺乏而产生的促甲状腺效应,A.过量的碘所产生的抗甲状腺效应
166,6,4,4,20. 肾上腺髓质的描述，哪项正确 (2.0分),A.腺内只有嗜铬细胞  B.髓质细胞又称嗜铬细胞 C.位于肾上腺的被膜下  D.嗜铬细胞只分泌肾上腺素 E.嗜铬细胞只分泌去甲肾上腺素,B.髓质细胞又称嗜铬细胞
167,6,4,4,21. 甲状腺激素主要促进哪些组织生长发育(2.0分),A.内脏和骨骼 B.神经系统和肌肉 C.骨骼和肌肉 D.神经系统和骨骼 E.肌肉和内脏,D.神经系统和骨骼
