number,grade,module,week,question_stem,choice,correct_answer
551,8,1,5,1. 脂褐素电镜下为 (2.0分),A.脂质小体 B.Russell小体 C.Mallory小体 D.Councillman小体 E.残存小体,E.残存小体
552,8,1,5,2. 气球样变的肝细胞中，下列哪项改变是错误的 (2.0分),A.细胞内糖原增多 B.细胞内水分增多 C.内质网扩张囊泡变 D.线粒体肿胀，嵴消失 E.核蛋白体颗粒脱失 ,A.细胞内糖原增多
553,8,1,5,3. 电镜下，脂肪变性的脂滴形成于 (2.0分),A.高尔基器内 B.线粒体内 C.内质网中 D.溶酶体内 E.胞核中 ,C.内质网中
554,8,1,5,"4. 关于玻璃样变性, 下列哪项是错误的?  (2.0分)",A.可发生于浆细胞                              B.可发生于血管壁 C.可发生于结缔组织                            D.可发生于肝细胞 E.可发生于肾远曲小管上皮细胞 ,E.可发生于肾远曲小管上皮细胞 
555,8,1,5,5. 下述哪种肿瘤的发生可能与化生有关 (2.0分),A.肾盂移行细胞癌  B.皮肤鳞状细胞癌  C.肠黏液腺癌  D.肝胆管上皮癌  E.肠型胃癌,E.肠型胃癌
556,8,1,5,6. 下列哪一种变性最轻:(2.0分),A.脂肪变性 B.粘液样变性 C.细胞水肿 D.纤维素样变性 E.玻璃样变性,C.细胞水肿
557,8,1,5,7. 肾近曲小管细胞水肿时，细胞浆内细小颗粒是(2.0分),A.扩张的高尔基体 B.凝固的蛋白质 C.增多的溶酶体 D.脱落的核糖体 E.肿胀的线粒体和扩张的内质网,E.肿胀的线粒体和扩张的内质网
558,8,1,5,8. 细胞水肿常见于： (2.0分),A.肝细胞 B.脂肪细胞 C.纤维细胞 D.神经细胞 E.中性粒细胞 ,A.肝细胞
559,8,1,5,9. 病理性钙化病灶肉眼观察时，下列哪项描述是正确的(2.0分),A.黑色炭末样  B.蓝色颗粒状  C.灰白色颗粒状  D.暗红色颗粒状  E.土黄色颗粒状,C.灰白色颗粒状 
560,8,1,5,"10. 男, 18岁, 阑尾炎行外科手术切除, 此时手术刀口属(2.0分)",A.完全再生 B.二期愈合 C.一期愈合 D.痂下愈合 E.以上都不是,C.一期愈合
561,8,1,5,11. 结核病坏死属于:  (2.0分),A.纤维素样坏死 B.液化性坏死 C.干酪样坏死                                 D.凝固性坏死                                  E.溶解坏死 ,C.干酪样坏死                                
562,8,1,5,12. 下列哪种组织再生能力最强？ (2.0分),A.神经元 B.骨骼肌 C.神经胶质细胞 D.心肌 E.软骨    ,C.神经胶质细胞
563,8,1,5,13. 血管壁的玻璃样变性主要发生在 (2.0分),A.静脉 B.大动脉 C.小动脉 D.中等动脉 E.细动脉 ,E.细动脉 
564,8,1,5,14. 下列那项改变含代偿性肥大(2.0分),A.慢性扁桃体炎扁桃体增大 B.肺气肿肺体积增大 C.高血压病左心室增大 D.老年人前列腺增大 E.妊娠期子宫增大,C.高血压病左心室增大
566,8,1,5,16. 水样变性和脂肪变性主要发生在(2.0分),A.肺，脾，肾 B.心，肝，肾 C.心，脾，肺 D.肝，肾，脾 E.心，肝，胃,B.心，肝，肾
567,8,1,5,17. 肉芽组织是由----组成(2.0分),A.吞噬细胞和成纤维细胞 B.新生毛细血管和单核细胞 C.新生毛细血管和成纤维细胞 D.新生毛细血管和吞噬细胞 E.以上均不是  ,C.新生毛细血管和成纤维细胞
568,8,1,5,18. 男，50岁，有长期吸烟史，因发热咳痰入院。痰检发现，痰内脱落的气管粘膜上皮部分为鳞状上皮，细胞无异型性，此病变可能为：(2.0分),A.气管上皮的鳞状化生 B.气管上皮先天性发育异常 C.气管上皮的食管上皮化生 D.气管上皮的异型增生 E.以上都不是,A.气管上皮的鳞状化生
569,8,1,5,19. 易发生干性坏疽的器官是(2.0分),A.四肢 B.肺 C.心肌 D.肠道 E.子宫,A.四肢
570,8,1,5,20. 梗死后液化性坏死常见于(2.0分),A.脑 B.肾 C.肺 D.心 E.肝,A.脑
571,8,1,5,21. 虎斑心是指： (2.0分),A.心肌间脂肪组织浸润 B.心肌细胞凝固性坏死                         C.心肌细胞水样变性 D.心肌细胞脂肪变性                         E.心肌细胞内脂褐素沉着 ,D.心肌细胞脂肪变性                        
572,8,1,5,"22. 脂肪变性时,苏丹Ⅲ染色可将细胞内的脂滴染成: (2.0分)",A.橘红色                                      B.蓝色 C.黑色                                        D.黄色 E.棕色 ,A.橘红色                                     
