number,grade,module,week,question_stem,choice,correct_answer
863,9,2,4,40. 眼内压是眼球内容物作用于眼球壁的压力。正常人的眼压值是    mmHg。(2.0分),A.10～20       B.10～18       C.18～20         D.10～21,D.10～21
855,9,2,4,32. 屈光参差患者度数相差超过（    ），可因融像困难而出现症状。(2.0分),A.1.50D；      B.2.00D；      C.2.50D；      D.3.00D。,D.3.00D。
848,9,2,4,25. 角膜是主要的屈光介质，其屈光度其相当于： (2.0分),A.19D凸透镜 B.20D凹透镜 C.42D凸透镜 D.43D凸透镜,D.43D凸透镜
2218,13,2,4,"35. 用角膜映光点法检查眼位,当角膜映光点位于瞳孔缘时,其偏斜度大约是(2.5分)",A.25°　 B.20°  C.5° D.5°,C.5°
851,9,2,4,28. 每眼眼外肌共有(2.0分),A.4条    B.6条    C.8 条    D.9条,B.6条   
1866,12,2,4,14. 下列那条肌肉不受第Ⅲ颅神经支配(2.5分),A.上直肌 B.内直肌 C.下直肌 D.上斜肌；  ,D.上斜肌；  
2907,15,2,4,10. 下列哪项关于偏头痛的描述是不正确的(2.0分),A.反复头痛 B.单侧、搏动性头痛 C.日常体力活动可加剧头痛 D.不伴有呕吐、畏光畏声,D.不伴有呕吐、畏光畏声
864,9,2,4,41. 一眼原发性急性闭角型青光眼急性发作，对侧没发作眼有青光眼解剖学基础，对侧眼为(2.0分),A.临床前期   B.先兆期  C.间歇期   D.不能确定,A.临床前期  
3270,16,2,4,1. 在确定前因后果的时间顺序上，哪种研究方法最好(2.0分),A.生态学研究 B.横断面研究 C.临床试验  D.病例对照研究,C.临床试验 
1559,11,2,4,31. 病例对照研究利用医院就诊或住院病人作为研究对象时易导致的偏倚种类为(3.0分),A.伯克森偏倚 B.报告偏倚 C.奈曼偏倚 D.检出症候偏倚,A.伯克森偏倚
514,8,2,4,32. 研究实施过程中，由于测量仪器存在偏差，是测量所得的数据与真实情况存在差异，这属于哪一类偏倚？ (2.0分),A.混杂偏倚 B.入院率偏倚 C.选择偏倚 D.信息偏倚,D.信息偏倚
853,9,2,4,30. 由于调节过强和调节痉挛引起远视力低下者称为 (2.0分),A.假性近视；    B.老视；     C.轴性近视；     D.变性近视。,A.假性近视；   
3272,16,2,4,3. 以医院为基础的病例对照研究最容易出现的偏倚种类为(2.0分),A.入院率偏倚 B.错分偏倚 C.奈曼偏倚 D.混杂偏倚,A.入院率偏倚
