,grade,module,week,question_stem,choice,answer
107,6,7,4,1. A型人血清中含有抗体为(3.0分),A.抗O B.抗B C.抗A D.抗A和抗B E.无抗体,B.抗B
108,6,7,4,2. 关于血小板输注指征，以下表述错误的是(3.0分),A.血小板计数在10-50×109/L时可按病情的需要酌情输注血小板 B.血小板计数<10×109/L是血小板输注的绝对指征 C.血小板计数>50×109/L，如凝血功能基本正常不需输血小板 D.血小板生成障碍引起的血小板减少如再生障碍性贫血、白血病、淋巴瘤及其他癌症经大剂量化疗或放疗之后需输血小板 E.急性血小板减少如大量输注库存血、体外循环、严重感染性疾病、DIC等需输注血小板,B.血小板计数<10×109/L是血小板输注的绝对指征
109,6,7,4,3. 肝素使用的适应症：(3.0分),A.多种凝血因子缺乏时 B.DIC早期高凝状态 C.预防DIC发生 D.手术后发生DIC E.明显的纤溶亢进,B.DIC早期高凝状态
110,6,7,4,4. Which of the following is the genetic hallmark of APL? (3.0分),A.t(9;11)(p22;q23 ) B.t(15;17)(q22;q21) C.t(8;21)(q22;q22) D.t(9;22)(q34;q11) E.t(16;16)(p13;q22) ,B.t(15;17)(q22;q21)
111,6,7,4,5. Neutropenia指的是中性粒细胞减少，下列哪个ANC水平被公认为是感染高发的阈值：(3.0分),"A.< 0.5 X 109/L B.< 0.l X 109/L,  C.< 1.0 X 109/L D.<1.5 X 109/L E.<2.0 X 109/L  ",A.< 0.5 X 109/L
112,6,7,4,6. MDS的IPSS中，下列哪条染色体异常提示预后不良： (3.0分),A.5q- B.7号染色体异常 C.20q- D.-Y E.del（13q）,B.7号染色体异常
113,6,7,4,7. 以下哪项不属于输血指征(3.0分),A.有明显贫血症状，出现心肺功能代偿不足 B.贫血严重又因其它疾病需要手术或待产妇 C.病人血红蛋白<60g/L D.生长发育期的患儿，宜将血红蛋白提高到70-90g/L E.急性失血致失血性休克者,C.病人血红蛋白<60g/L
114,6,7,4,8. 急性再障与急性白血病鉴别时出现以下表现可考虑为白血病(3.0分),A.外周血细胞数减少 B.胸骨出现压痛 C.外周红细胞减少 D.外周血小板减少 E.有明确毒物接触史,B.胸骨出现压痛
115,6,7,4,9. 急性白血病中最易并发DIC的是： (3.0分),A.M3 B.M2 C.M1 D.M4 E.M5,A.M3
116,6,7,4,10. 关于cyclophosphamide (CTX)的叙述，下列哪项是错误的？ (3.0分),A.其代谢产物对肾脏、膀胱有刺激性，可致出血性膀胱炎 B.抗瘤谱广，特别对恶性淋巴瘤疗效显著 C.须在体内转化为活性代谢产物发挥作用 D.体外无抗肿瘤作用 E.选择性高，不良反应少，脱发的发生率亦较其他烷化剂低,E.选择性高，不良反应少，脱发的发生率亦较其他烷化剂低
117,6,7,4,11. DIC高凝期患者的治疗原则，除消除病因、治疗原发病，应首先考虑：(3.0分),A.及早应用肝素 B.积极抗纤溶治疗 C.补充水与电解质  D.应用抗血小板药物 E.输注全血,A.及早应用肝素
