,grade,module,week,question_stem,choice,answer
34,6,7,2,1. 下肢动脉闭塞性疾病，最常见的病因是：(3.0分),A.大动脉炎 B.动脉硬化 C.肌纤维发育不良 D.血栓闭塞性脉管炎 ,B.动脉硬化
35,6,7,2,2. 在考虑高血压患者心血管危险分层时，下列哪种情况属于靶器官损害？ (3.0分),A.微量白蛋白尿 B.糖尿病 C.腹型肥胖 D.高脂血症 E.抽烟,A.微量白蛋白尿
36,6,7,2,3. 高血压合并窦性心动过速的年轻患者宜首选何种抗高血压药(3.0分),A.Clonidine (可乐定) B.Methyldopra(甲基多巴)  C.Propranolol  D.Nitroprusside sodium（硝普钠） E.Losartan,C.Propranolol 
37,6,7,2,4. 双侧肾脏体积缩小，表面细颗粒状，见于：(3.0分),A.多发性肾梗死   B.肾动脉粥样硬化 C.高血压病第三期  D.慢性肾盂肾炎 E.肾结核,C.高血压病第三期 
38,6,7,2,5. 与动脉粥样硬化有关的疾病是(3.0分),A.肥厚性心肌病  B.风湿性心脏病  C.扩张性心肌病 D.高血压  E.限制性心肌病,D.高血压 
39,6,7,2,6. 下肢动脉硬化病塞症的诊断金标准是：(3.0分),A.MRA B.CTA  C.数字减影动脉造影（DSA） D.多普勒超声     ,C.数字减影动脉造影（DSA）
40,6,7,2,7. Captopril 的抗高血压作用机制是 (3.0分),A.抑制β-羟化酶的活性 B.抑制血管紧张素I转化酶Ⅰ的活性 C.抑制肾素活性 D.抑制血管紧张素I的生成  E.阻断血管紧张素Ⅱ受体,B.抑制血管紧张素I转化酶Ⅰ的活性
41,6,7,2,8. 恶性高血压患者发生尿毒症的主要原因是(3.0分),A.肾间质出血 B.肾小球纤维化 C.肾小动脉增生性动脉内膜炎 D.肾细动脉纤维蛋白样坏死 E.肾小管坏死,D.肾细动脉纤维蛋白样坏死
42,6,7,2,9. 抗高血压药物中易引起踝关节水肿的是？(3.0分),A.Clonidine (可乐定) B.Nifedipine  C.Guanethidine（胍乙啶）  D.Hydrochlorothiazide  E.Nitroprusside sodium（硝普钠） ,B.Nifedipine 
43,6,7,2,10. 降压时出现心率加快、心输出量增加和肾素活性增高的药物是(3.0分),A.Enalapril (依那普利)  B.Clonidine  C.Nifedipine D.Prazosin(哌唑嗪)   E.Propranolol,C.Nifedipine
44,6,7,2,11. Nitroprusside sodium（硝普钠）主要用于 (4.0分),A.中度高血压伴肾功能不全 B.高血压危象 C.重度高血压 D.轻、中度高血压 E.中、重度高血压,B.高血压危象
45,6,7,2,12. 高血压并发肾功能不全者宜选用(3.0分),A.Mecamylamine（美卡拉明） B.Captopril  C.Reserpine（利血平）  D.Guanethidine（胍乙啶） E.Hydrochlorothiazide ,B.Captopril 
46,6,7,2,13. 良性高血压时造成血压升高的主要病变是(3.0分),A.颗粒性固缩肾 B.脑细动脉纤维蛋白样坏死 C.全身细动脉硬化 D.左心室肥大  E.重要器官肌型动脉中膜及内膜增厚,C.全身细动脉硬化
47,6,7,2,14. 关于深静脉血栓形成下列哪项是不正确的：(3.0分),A.肺栓塞是最严重的并发症  B.治疗应首选手术取栓   C.患肢肿胀疼痛是常见的临床表现    D.盆腔手术是引起的常见原因  E.慢性期以物理疗法为主  ,B.治疗应首选手术取栓  
48,6,7,2,15. 下列哪两种降压药物的联合不合适？ (3.0分),A.钙拮抗剂+噻嗪类利尿剂 B.β受体阻滞剂+钙拮抗剂 C.钙拮抗剂+ACEI D.ARB+噻嗪类利尿剂 E.β受体阻滞剂+噻嗪类利尿剂,E.β受体阻滞剂+噻嗪类利尿剂
