number,grade,module,week,question_stem,choice,correct_answer
3446,16,2,1,27. 第8题资料，吸烟导致高血压的OR值为： (2.0分),A.7.5  B.15 C.6 D.3.3,D.3.3
1098,10,2,1,25. 当突触前释放神经递质谷氨酸时，下列哪种兴奋性突触后反应排序符合时间先后次序？ (2.0分),A.突触后膜去极化? AMPA受体激活? Ca2+内流? NMDA受体激活 B.Ca2+内流活?突触后膜去极化?AMPA受体激活?NMDA受体激活 C.AMPA受体激活?突触后膜去极化?NMDA受体兴奋?Ca2+内流    D.NMDA受体激活? Ca2+内流?突触后膜去极化?AMPA受体激活,C.AMPA受体激活?突触后膜去极化?NMDA受体兴奋?Ca2+内流   
2709,14,2,1,17. 关于骨骼肌收缩机制，下列哪条是错误的？(2.0分),A.引起兴奋收缩偶联的离子是Ca2+ 离子 B.细肌丝向粗肌丝滑行    C.Ca2+与横桥结合 D.肌小节缩短,C.Ca2+与横桥结合
8,7,2,1,"8. A newborn is noted to maintain a frog-leg position with a weak cry and minimal spontaneous movement. A muscular dystrophy is suspected, and a serum enzyme is measured that reflects the abundance of a high energy storage molecule in muscle.                                                         Which of the following enzymes was measured? (2.0分)",A.Adenosine triphosphatase B.Glucose-1-phosphate dehydrogenase C.Creatine phosphokinase D.Pyrophosphatase,C.Creatine phosphokinase
391,8,2,1,42. 时间常数 =0.1s时，高通滤波器的下限转折频率约为(2.0分),A.FL = 1.60Hz B.FL=0.16Hz  C.FL = 0.10Hz D.FL = 1.00Hz,C.FL = 0.10Hz
16,7,2,1,16. A mutation causing an abnormality in presenilin that disrupts amyloid production or function has been associated with (2.0分),A.cystic fibrosis B.Marfan syndrome C.Duchenne muscular dystrophy D.none of the above,D.none of the above
2078,13,2,1,45. 下列哪项在突触囊泡释放中与感受Ca2+浓度直接相关： (2.0分),A.活性区（Active Zone） B.线粒体（mitochondria） C.SNARE蛋白复合体 D.Synaptotagmin和Complexin     ,D.Synaptotagmin和Complexin     
2716,14,2,1,24. 关于小脑病变那项描述不正确？(2.0分),A.不同程度肌肉无力 B.共济平衡不良 C.轮替动作不协调 D.精细活动困难,A.不同程度肌肉无力
3443,16,2,1,24. 队列研究比较的是 (2.0分),A.不同组人群发病/死亡人数的差别 B.不同组人群患病/死亡人数的差别 C.不同组人群发病/死亡率的差别 D.不同组人群患病/死亡率的差别,C.不同组人群发病/死亡率的差别
2058,13,2,1,25. 下列不属于观察性研究的是 (2.0分),A.临床试验  B.病例对照研究 C.临床病例报告 D.队列研究,A.临床试验 
