,grade,module,week,question_stem,choice,answer
1,6,7,1,1. 心绞痛发生的原因和诱因不包括(3.0分),A.冠状动脉畸形 B.甲亢 C.二尖瓣狭窄 D.主动脉瓣狭窄 E.肥厚型心肌病,C.二尖瓣狭窄
2,6,7,1,2. 继发于甲状腺功能亢进的心律失常，应选用哪一药物治疗？(3.0分),A.Propranolol B.Verapamil C.Digoxin D.Lidocaine E.Mexiletine ,A.Propranolol
3,6,7,1,3. Lidocaine对哪一种心律失常效果最好？(3.0分),A.室性心动过速 B.室上性阵发性心动过速 C.心房扑动 D.窦性心动过缓 E.房室传导阻滞,A.室性心动过速
4,6,7,1,4. 下列何种药物的肝首过消除很强，生物利用度很低，故临床上治疗心律失常必须静注不能口服(3.0分),A.胺碘酮 B.维拉帕米 C.奎尼丁 D.普鲁卡因胺 E.利多卡因  ,E.利多卡因  
5,6,7,1,5. 大部分急性心肌梗塞的病因是：(3.0分),A.冠状动脉内粥样斑块破裂，血栓形成 B.冠状动脉炎，血栓形成 C.冠状动脉狭窄逐渐进展直至完全堵塞 D.冠状动脉痉挛，血栓形成 E.冠状动脉栓塞,A.冠状动脉内粥样斑块破裂，血栓形成
6,6,7,1,6. 强心苷中毒所致的快速型心律失常的最佳治疗药物是(3.0分),A.普罗帕酮 B.胺碘酮 C.奎尼丁 D.苯妥英钠 E.阿托品,D.苯妥英钠
7,6,7,1,7. 有关普萘洛尔的抗心律失常作用机制，下述哪一项是错误的？(4.0分),A.阻断心脏 受体 B.治疗剂量延长浦氏纤维的APD和ERP C.降低儿茶酚胺所致的迟后除极幅度，防止触发活动 D.降低窦房结、浦氏纤维的自律性 E.延长房室结ERP,B.治疗剂量延长浦氏纤维的APD和ERP
8,6,7,1,8. 治疗窦性心动过速首选下列哪一种药？(3.0分),A.奎尼丁 B.苯妥英钠 C.利多卡因 D.普萘洛尔 E.氟卡尼,D.普萘洛尔
9,6,7,1,9. 抗心律失常药的基本电生理作用不包括(3.0分),A.降低自律性 B.增加后除极与触发活动 C.改变膜反应性而改变传导性 D.减少后除极与触发活动   E.改变ERP和APD而减少折返激动,B.增加后除极与触发活动
10,6,7,1,10. 长期应用引起角膜褐色微粒沉着的抗心律失常药是(3.0分),A.胺碘酮 B.利多卡因 C.奎尼丁 D.氟卡尼 E.维拉帕米,A.胺碘酮
11,6,7,1,11. 急性心肌梗塞出现最早的指标为：(3.0分),A.肌酸磷酸激酶 B.谷草转氨酶 C.乳酸脱氢酶 D.肌红蛋白 E.肌钙蛋白,D.肌红蛋白
12,6,7,1,12. 用于治疗阵发性室上性心动过速的最佳药物是(3.0分),A.Quinidine B.Verapamil C.Phenytoin sodium D.Procainamide E.Lidocaine,B.Verapamil
13,6,7,1,13. 冠心病二级预防措施包括(3.0分),A.戒烟 B.调脂治疗 C.抗血小板治疗 D.控制血压 E.以上都是,E.以上都是
14,6,7,1,14. 下列哪项不属于心律失常的器械治疗范畴： (3.0分),A.射频消融术    B.ICD    C.起搏器    D.植入式事件记录器,D.植入式事件记录器
15,6,7,1,15. 下列哪种能量最不适合于心脏消融手术： (3.0分),A.直流电    B.射频能     C.微波     D.超声,C.微波    
16,6,7,1,16. 心律失常的主要诊断依据是：(3.0分),A.心脏CT； B.心脏超声图； C.心电图； D.冠状动脉造影； E.临床表现。,C.心电图；
17,6,7,1,17. 不稳定型心绞痛和非ST段抬高心肌梗死(非Q波心肌梗死)之间主要的差别是(3.0分),A.CK-MB≥正常上限的2倍或者肌钙蛋白升高 B.心绞痛的严重程度 C.斑块表面是否存在血栓形成 D.冠状动脉造影的结果 E.ST段压低持续的时间,A.CK-MB≥正常上限的2倍或者肌钙蛋白升高
18,6,7,1,18. 女性，56岁。劳力时即有胸骨后疼痛，呈压榨样，静息后或含硝酸甘油片2min后即缓解，疼痛发作时心电图示S-T段压低，心电图运动负荷试验阳性，经冠状动脉造影后，诊断为X综合征。此时冠状动脉造影结果应为：(3.0分),A.右冠状动脉主干病变 B.左冠状动脉主干病变 C.三支血管病变 D.麦角新碱试验显示冠状动脉痉挛 E.冠状动脉造影正常,E.冠状动脉造影正常
19,6,7,1,19. 下列哪一种情况下不属于奎尼丁的禁忌证或应慎用？(3.0分),A.完全性房室传导阻滞 B.严重低血压， C.新发病的心房纤颤 D.充血性心力衰竭 E.地高辛中毒,C.新发病的心房纤颤
20,6,7,1,20. 苯妥英钠的最佳适应证是 (3.0分),A.房室传导阻滞 B.室性早搏 C.心室纤颤 D.室性心动过速 E.强心苷中毒的心律失常,E.强心苷中毒的心律失常
21,6,7,1,21. 正常人心律应该是：(3.0分),A.左室心律 B.右房心律 C.右室心律 D.窦性心律 E.交界区心律,D.窦性心律
22,6,7,1,22. 患者男，37岁，因扩张型心肌病、心衰入院，在清晨洗漱时突然跌倒，呼之不应，心音消失，这时目击住院医师应立即(3.0分),A.找上级医生 B.输液 C.吸氧 D.心电图检查 E.马上呼救并进行胸外按压,E.马上呼救并进行胸外按压
23,6,7,1,23. 射频消融术不适用于治疗： (3.0分),A.窦性心动过速 B.室上性心动过速    C.房性心动过速    D.室性心动过速,A.窦性心动过速
24,6,7,1,"24. 患者男性，65岁，有糖尿病7年，高血压病史4年。因突然发作胸闷、出汗、胸部紧缩感而急诊入院。血压110/70mmHg, 心电图示下壁导联ST段压低0.2mv, T波倒置。查心肌酶谱示CK-MB升高。应诊断为：(3.0分)",A.急性非ST段抬高型心肌梗塞 B.低血糖反应 C.主动脉夹层 D.心绞痛发作 E.急性心包炎,A.急性非ST段抬高型心肌梗塞
25,6,7,1,25. 冠心病心绞痛与心肌梗塞时胸痛的主要鉴别点是(3.0分),A.疼痛的持续时间及对含副硝酸甘油的反应不同 B.疼痛的部位不同 C.疼痛的放射部位不同 D.疼痛性质不同 E.疼痛时是否伴发恶心,A.疼痛的持续时间及对含副硝酸甘油的反应不同
26,6,7,1,26. 患者因急性心肌梗塞入院。入院第3天，于胸骨左缘3~4肋间出现4/6级收缩期杂音，同时心力衰竭明显加重。最可能的诊断为心肌梗塞并发(3.0分),A.梗死后综合征 B.急性肺心病 C.室间隔穿孔 D.心室游离壁破裂 E.乳头肌或腱索断裂,C.室间隔穿孔
27,6,7,1,27. 急性心肌梗塞时发生心源性休克的主要机制是：(3.0分),A.快速性心律失常  B.心排血量急剧下降 C.血容量不足  D.周围血管扩张 E.迷走神经张力过高,B.心排血量急剧下降
28,6,7,1,28. 冠心病心绞痛的心电图表现哪项不正确(3.0分),A.发作时原倒置T波可以直立 B.非特异性ST-T改变 C.静息心电图半数以上正常 D.心电图ST－T动态变化是诊断冠心病的主要依据 E.心绞痛发作时心电图可以出现Q波,E.心绞痛发作时心电图可以出现Q波
29,6,7,1,29. 一旦心电监测确定为心室颤动应立即(3.0分),A.静注异丙肾上腺素 B.电击复律 C.静注利多卡因 D.人工心脏起搏 E.静注阿托品,B.电击复律
30,6,7,1,30. 下列各类型心绞痛中，属于劳累性心绞痛的是(3.0分),A.恶化型心绞痛 B.卧位型心绞痛 C.变异型心绞痛 D.梗塞后心绞痛 E.急性冠状动脉功能不全,A.恶化型心绞痛
31,6,7,1,31. 高血压病患者，伴发心悸(HR99次／分)和劳力性心绞痛时，应首选哪种药物 (3.0分),A.β受体阻滞剂  B.受体阻滞剂  C.血管紧张素转换酶抑制剂  D.钙离子拮抗剂  E.利尿剂 ,A.β受体阻滞剂 
32,6,7,1,32. 成人心肺复苏时要求按压与通气的比例是：(3.0分),A.30 : 2 B.20 : 2 C.10 : 2 D.40 : 2　 E.50 : 2,A.30 : 2
33,6,7,1,33. 导致心脏骤停的最常见心律失常是：(3.0分),A.二度房室传导阻滞 B.阵发性室上性心动过速 C.心室颤动 D.心房颤动 E.三度房室传导阻滞,C.心室颤动
289,7,7,1,1. 正常人心律应该是(2.5分),A.窦性心律 B.右房心律 C.右室心律 D.左室心律 E.交界区心律,A.窦性心律
290,7,7,1,2. 心律失常的主要诊断依据是：(2.5分),A.心电图； B.心脏超声图； C.心脏CT； D.冠状动脉造影； E..临床表现。,A.心电图；
291,7,7,1,3. 心律失常必须要用药物治疗：(2.5分),A.是的； B.不是的； C.非药物治疗； D.具体情况具体分析； E.不清楚。,D.具体情况具体分析；
292,7,7,1,4. 下列哪项不属于心律失常的器械治疗范畴： (2.5分),A.起搏器 B.ICD C.射频消融术 D.植入式事件记录器,D.植入式事件记录器
293,7,7,1,5. 抗心动过速型起搏器可用于治疗： (2.5分),A.室上性心动过速  B.窦性心动过速 C.房性心动过速 D.室性心动过速,C.房性心动过速
294,7,7,1,6. 射频消融术不适用于治疗： (2.5分),A.室上性心动过速 B.窦性心动过速 C.房性心动过速 D. 室性心动过速,B.窦性心动过速
295,7,7,1,7. 下列哪种能量目前最适合于心脏消融手术： (2.5分),A.微波 B.射频能 C.直流电 D.激光,B.射频能
296,7,7,1,8. 下列哪种能量最不适合于心脏消融手术： (2.5分),A.微波 B.射频能 C.直流电 D.超声,A.微波
297,7,7,1,9. 复杂心律失常射频消融最重要平台是： (2.5分),A.X线机 B. 三维电标测系统  C.电生理多导仪 D.CT,B. 三维电标测系统 
298,7,7,1,10. 扩张型心肌病的发病机理可能是(2.5分),A.病毒的直接损伤（柯萨奇，人类巨细胞病毒等） B.体液免疫（ ADP/ATP载体抗体－钙内流增加） C.细胞免疫（ T细胞、TNF、白细胞介素等） D.人类白细胞抗原基因型相关联 E.以上都对。,E.以上都对。
299,7,7,1,11. 以下那种药物能明确降低猝死 (2.5分),A.利尿剂 B.ACE / ARB  C.? 阻滞剂 D.洋地黄 E.血管扩张剂等,C.? 阻滞剂
