number,grade,module,week,question_stem,choice,correct_answer
276,7,2,6,26. 颅内巨大动脉瘤是指大于。(3.0分),A.15mm  B.25mm C.20mm D.30mm,B.25mm
275,7,2,6,25. 以下哪个压力值是属于成人正常颅内压力范围之内的(3.0分),A.100mmH2O B.160mmHgb C.20cmH2O D.8mmHgb,D.8mmHgb
954,9,2,6,31. 应激中不利于适应的人格特征不包括： (2.0分),A.A型人格    B.B型人格    C.C型人格     D.D型人格,B.B型人格   
271,7,2,6,21. 患者，女性，57岁。突发右侧肢体偏瘫就诊。影像学检查首选 (3.0分),A.CT  B.MR  C.DSA  D.平片 ,A.CT 
263,7,2,6,13. 患者，男性，56岁。突发头痛、呕吐就诊。首选 (3.0分),A.DSA  B.MR C.CT  D.平片,C.CT 
930,9,2,6,"7. To demonstrate small amount of subarachnoid hemorrhage,which modality is the best choice?        (2.0分)",A.MRI B.MRA C.CT D.DSA,C.CT
280,7,2,6,30. 判断急性蛛网膜下腔，首选 (3.0分),A.MR平扫 B.CT增强  C.CT平扫  D.MR增强,C.CT平扫 
262,7,2,6,12. 诊断动脉瘤的金标准。(3.0分),A.TCD B.MRA C.CTA  D.DSA,D.DSA
1619,11,2,6,25. Which method is the  gold standard in imaging a berry aneurysms(2.0分),A.CTA (CT angiography ) B.MRA (MR angiography ) C.DSA (digital subtraction angiography ) D.MRI ( magnetic resonance imaging ),C.DSA (digital subtraction angiography )
932,9,2,6,9. Which of the following has the highest sensitivity and specificity in the diagnosis of acute ischaemic infarction in the first hour after onset. (2.0分),A.CT without contrast B.MRI T2WI C.MRI T1WI D.DWI ( Diffiusion weighted imaging ) ,D.DWI ( Diffiusion weighted imaging ) 
931,9,2,6,8. Subacute intracerebral hematoma typically presents signal intensity as:(2.0分),A.Iso T1 intensity and  Iso T2 intensity B.Hyper T1 intensity and Hyper T2 intensity C.Hyper T1 intensity and hypo T2 intensity D.Hypo T1 intensity and hyper T2 intensity,B.Hyper T1 intensity and Hyper T2 intensity
1954,12,2,6,29. 一位20多岁的男青年，与同事相处不好，总觉得他们跟自己过不去，不知如何处理而就诊心理门诊。如果需要作心理评估，应首先考虑选用的量表是： (2.0分),A.16PF   B.EPQ    C.MMPI  D.SCL-90,C.MMPI 
1952,12,2,6,27. 不属于症状评定量表的一项是： (2.0分),A.SCL-90  B.MMPI  C.SDS D.SAS ,B.MMPI 
1637,11,2,6,43. 一儿童患者，突发头痛、呕吐伴癫痫，CT示脑实质内出血约10ml，最可能的出血原因是：(2.0分),A.脑动静脉畸形 B.MOYAMOYA病 C.海绵状血管瘤  D.高血压脑出血,B.MOYAMOYA病
933,9,2,6,"10. In the diagnosis of Cerebral arteriovenous malformation (AVM), which of the following is true.(2.0分)","A.MRA delineate the feeding vessels and the pattern of drainage better then DSA.                             B.CT is better then MRI in the evalution of an AVM  C.CT can easily show three components: nidus of vessels , feeding arteris and drainage veins. D.MRI can easily show three components: nidus of vessels , feeding arteris and drainage veins.","D.MRI can easily show three components: nidus of vessels , feeding arteris and drainage veins."
929,9,2,6,6. Which of the following  is non intra-axial haemorrhage ？ (2.0分),A.lobar haemorrhage  B.basal ganglia haemorrhage  C.pontine haemorrhage  D.subarachnoid haemorrhage (SAH) ,D.subarachnoid haemorrhage (SAH) 
2817,15,2,6,10. 森田疗法的绝对卧床阶段时间一般为： (2.5分),A.三天   B.五天  C.七天 D.十天,C.七天
267,7,2,6,17. 以下属于主观事件的是(3.0分),A.亲人亡故 B.与同事关系紧张 C.结婚 D.子女出生,B.与同事关系紧张
