,grade,module,week,question_stem,choice,answer
187,6,8,6,1. 果你希望一个小鼠的水迷宫记忆能力提高，那么下面哪个手段可能有用： (3.0分),A.多喂小鼠糖 B.多喂小鼠钾盐 C.多喂小鼠镁盐 D.多喂小鼠味精,C.多喂小鼠镁盐
188,6,8,6,"2. Below are right concepts of biological rhythms, except for (3.0分)","A.Infradian rhythm fluctuates less than once a day, such as hibernation B.Circadian rhythm fluctuates every 24 hours, such as sleep cycles C.Ultradian rhythm fluctuates more than once a day D.Circadian rhythm fluctuates daily, such as sleep-wake cycle E.The suprachiasmatic nucleus is the biological clock that generates these rhythms in human. ","B.Circadian rhythm fluctuates every 24 hours, such as sleep cycles"
189,6,8,6,3. The correct saying about the 5 stages of sleep cycles: (3.0分),A.Stage 5 - REM sleep (rapid eye movement) B.Stage 1 -REM sleep (rapid eye movement) C.Stage 2 -delta rhythms (marked slowing) D.Stage 3 -theta rhythms (random neural activity) E.Stage 4 - REM sleep (rapid eye movement),A.Stage 5 - REM sleep (rapid eye movement)
190,6,8,6,4. Which statement is wrong concerning EEG rhythms (3.0分),A.Frequency is measured in Hz B.Alpha wave is 8-13 Hz in correlation to quiet waking states C.Beta wave is 4-7 Hz and in correlation to thinking (active cortex) D.Theta wave is 4-7 Hz present in the first stage of sleep. E.Delta wave is <4 Hz present during deep sleep,C.Beta wave is 4-7 Hz and in correlation to thinking (active cortex)
191,6,8,6,5. 谵妄最多见的幻觉是( )XueHui.Com(3.0分),A.嗅幻觉 B.味幻觉 C.听幻觉 D.视幻觉 E.触幻觉,D.视幻觉
192,6,8,6,6. 下列那一条不是躯体疾病所致精神障碍诊断的依据(3.0分),A.躯体疾病在精神障碍的发生发展、转归等方面有时间上的密切关系  B.精神症状发生于躯体疾病高峰期，可随躯体疾病的好转而好转  C.有躯体疾病的依据  D.精神症状常有昼重夜轻的节律变化 E.有实验室的阳性发现,D.精神症状常有昼重夜轻的节律变化
193,6,8,6,7. 阿尔茨海默病的最典型影像学表现： (3.0分),"A.额叶萎缩 B.脑室增大,脑沟增宽、加深 C.枕叶萎缩 D.海马萎缩 E.蜂鸟征",D.海马萎缩
194,6,8,6,8. .择海兔进行学习研究的优点是？(3.0分),A.利用进行迷宫训练 B.动作迟缓，便于摄像机抓拍 C.可以进行识别训练 D.神经元回路简单,D.神经元回路简单
195,6,8,6,"9. Concerning control of sleep cycles, which is NOT correct? (4.0分)",A.Diffuse modulatory systems control sleep and waking (locus coeruleus). B.norepinephrine and serotonin active during waking enhance activity C.Acetylcholine neurons active in Pons during REM sleep. D.Diffuse modulatory systems control cortex to synchronize brain waves during sleep. E.Diffuse modulatory systems control thalamus to synchronize brain waves during sleep.,D.Diffuse modulatory systems control cortex to synchronize brain waves during sleep.
196,6,8,6,10. Alzheimer病的确诊依据是：(3.0分),A.智力量表检查； B.病理检查  C.病史； D.头颅MRI； E.脑电图检查,B.病理检查 
