,grade,module,week,question_stem,choice,answer
140,6,7,5,1. 引起急性肾小球肾炎的常见病因是(3.0分),A.乙型肝炎病毒感染  B.甲型肝炎病毒感染  C.葡萄球菌感染  D.β溶血性链球菌A族12型 感染  E.乙族甲组溶血性链球菌感染 ,D.β溶血性链球菌A族12型 感染 
141,6,7,5,2. 尿中找见白细胞管型，应首先考虑：(3.0分),A.脂性肾病 B.急性肾盂肾炎 C.膜性肾病 D.慢性肾小球肾炎 E.急性膀胱炎,B.急性肾盂肾炎
142,6,7,5,3. 急性肾盂肾炎首选抗生素是(3.0分),A.土霉素 B.红霉素 C.四环素 D.青霉素 E.羧苄青霉素,E.羧苄青霉素
143,6,7,5,4. 男，16 岁，头痛，乏力，两眼浮肿，尿少一周，血压（105/100mmHg），发病前十天，曾有感冒咽痛史，首先应采取哪种检查最有利于诊断？(3.0分),A.查空腹血尿素氮  B.查尿常规+比重    C.查血白细胞总数及分类    D.查内生肌酐清除率     E.查血、尿渗透压,D.查内生肌酐清除率    
144,6,7,5,5. 肾小球毛细血管袢呈明显分叶状的肾炎是(3.0分),A.膜性增生性肾炎 B.脂性肾病                          C.膜性肾病                         D.链球菌感染后肾炎 E.IgA肾病,A.膜性增生性肾炎
145,6,7,5,6. 远端型RTA的临床表现，不正确的有(4.0分),A.PH下降，尿液酸性 B.高钾血症 C.低血钙，低血磷和骨病 D.周期性麻痹,A.PH下降，尿液酸性
146,6,7,5,7. 急性药物性间质性肾炎的病理改变为(3.0分),A.肾间质弥漫纤维化 B.肾间质弥漫性淋巴细胞及单核细胞浸润 C.肾小球缺血性硬化 D.肾小管萎缩,B.肾间质弥漫性淋巴细胞及单核细胞浸润
147,6,7,5,8. 尿路感染最常见的致病菌是肠道革兰阴性杆菌，其中以哪类最常见(3.0分),A.变形杆菌 B.大肠杆菌 C.葡萄球菌 D.绿脓杆菌  E.粪链球菌,B.大肠杆菌
148,6,7,5,9. 与成人Fanconi综合症无关的病因是(3.0分),A.糖尿病肾病 B.干燥综合症 C.重金属肾损害 D.慢性间质性肾炎,A.糖尿病肾病
149,6,7,5,10. 慢性肾小球肾炎的肾小球变化主要是(3.0分),A.肾小球周围纤维化，肾球囊壁增厚 B.肾小球纤维化，玻璃样变性 C.入球小动脉玻璃样变性，肾小球萎缩 D.肾小球毛细血管内皮细胞增生，肾小球缺血 E.肾小球球囊脏层上皮细胞显著增生,B.肾小球纤维化，玻璃样变性
150,6,7,5,11. Nephrotic syndrome does not include:(3.0分),A.generalized edema B.massive proteinuria C.hypoalbuminemia D.hematuria E.hyperlipidemia,D.hematuria
151,6,7,5,12. 关于肾病综合征蛋白质及脂肪代谢紊乱，以下正确的是(3.0分),A.药物结合蛋白减少不会影响所有药物的药代动力学，也不会影响药物疗效 B.免疫球蛋白减少造成机体免疫力低下，易致感染 C.高脂血症不会造成血液粘稠度增加，不会促进血栓、栓塞并发症 D.高脂血症不会增加心血管系统并发症，也不会促进肾小球硬化和肾小管-间质病变发生,B.免疫球蛋白减少造成机体免疫力低下，易致感染
152,6,7,5,13. 慢性间质性肾炎早期的临床表现错误的为(3.0分),A.肾性糖尿 B.肾小管酸中毒 C.Fanconi综合症 D.肾性贫血及高血压,D.肾性贫血及高血压
153,6,7,5,14. 临床以肾小管功能障碍为主，常伴低钠、低钾和代谢性酸中毒的疾病是：(3.0分),A.慢性肾盂肾炎 B.急性肾小球肾炎 C.急性肾盂肾炎 D.慢性肾小球肾炎 E.新月体性肾小球炎,A.慢性肾盂肾炎
154,6,7,5,15. 感染后肾小球肾炎是一种(3.0分),A. 以渗出为主的炎症 B.以变质为主的炎症 C.以增生为主的炎症 D.以出血为主的炎症 E. 化脓性炎症,C.以增生为主的炎症
155,6,7,5,16. 慢性肾盂肾炎最重要的诊断依据是(3.0分),A.腰痛、脊肋角压痛 B.尿急、尿频、尿痛等 C.发热等全身症状 D.影像检查示肾盂肾盏变形、扩张 E.尿细菌培养阳性,E.尿细菌培养阳性
156,6,7,5,17. 肾小球肾炎中免疫荧光阳性物质主要是(3.0分),A.抗原     B.抗原、补体   C.抗体    D.细菌、抗体、补体 E.抗体、补体,E.抗体、补体
157,6,7,5,18. 诊断尿路感染下列哪项最有意义(3.0分),A.尿培养菌落计数＞105个／ml B.尿频、尿急、尿痛 C.清洁中段尿白细胞＞5个／HP D.畏寒、发热、白细胞增高 E.尿亚硝酸盐还原试验阳性,A.尿培养菌落计数＞105个／ml
158,6,7,5,19. 毛细血管内增生性肾小球肾炎的肉眼变化主要呈现(3.0分),A.颗粒性固缩肾 B.大白肾 C.瘢痕肾 D.大红肾 E.多囊肾,D.大红肾
159,6,7,5,20. 系膜增生性肾小球肾炎的病理特点是(3.0分),A.系膜基质增生 B.系膜细胞和基质增生 C.毛细血管壁增厚 D.单核细胞浸润 E.中性粒细胞浸润,B.系膜细胞和基质增生
