number,grade,module,week,question_stem,choice,correct_answer
51,7,1,1,1. 关于"流行病学"，下列说法哪项是错误的： (2.0分),A.流行病学中的研究群体是指所有人群 B.流行病学是从群体角度研究疾病与健康 C.流行病学从疾病分布入手探讨疾病的流行因素 D.流行病学属于预防医学的范畴 E.流行病学已深入临床医学的研究中,A.流行病学中的研究群体是指所有人群
52,7,1,1,2. 下列哪一种指标常用来说明疾病对人的生命危险程度： (2.0分),A.罹患率 B.死亡率 C.患病率 D.发病率 E.病死率,E.病死率
53,7,1,1,3. 表示传染病的流行强度宜用下列哪种指标： (2.0分),A.发病率 B.死亡率 C.罹患率 D.患病率 E.病死率,A.发病率
54,7,1,1,"4. 某县历年流脑发病率均在12/10万~20/10万之间,去年该县流脑发病率为16/10万,试判断其流行强度： (2.0分)",A.大流行 B.暴发 C.流行 D.散发 E.以上均不对,D.散发
55,7,1,1,5. 下列哪一种传染病一般呈严格的季节性： (2.0分),A.虫媒传染病  B.呼吸道传染病 C.寄生虫病 D.肠道传染病 E.血液传染病,A.虫媒传染病 
56,7,1,1,"6. 某地共有居民200000人，2003年罹患SARS 20人,其中死亡1人，该地2003年SARS的（ ）为5%。(2.0分)",A.病死率 B.发病率 C.患病率 D.罹患率 E.以上都不对,A.病死率
57,7,1,1,7. 人类染色体核型分析中不包括哪些特征： (2.0分),A.染色体形态特征 B.染色体大小 C.染色体数目 D.染色体复制,D.染色体复制
58,7,1,1,8. 下列哪条染色体是亚中着丝粒染色体： (2.0分),A.3号染色体 B.2号染色体 C.22染色体 D.13号染色体,B.2号染色体
59,7,1,1,9. 单链DNA迁移率与下列哪种因素无关： (2.0分),A.凝胶浓度 B.DNA的碱基序列 C.DNA长度 D.电泳时间,D.电泳时间
60,7,1,1,10. 下哪项不能作为判断G带制备好坏的标准：(2.0分),A.细胞完整，轮廓清晰，染色体在同一平面上均匀分布 B.所观察的染色体长短大致一样，处于同一有丝分裂时期 C.染色体形态和分散良好，最好无重叠现象，即使染色体个别重叠，也要能明显辨别 D.在所观察的染色体周围有多个散在的染色体,D.在所观察的染色体周围有多个散在的染色体
61,7,1,1,"11. If the normal sequence of genes on a chromosome is ABCDEFG, then a change in the sequence to AEDCBFG would be an example of a(2.0分)",A.Missense mutation B.Frame shift mutation C.Inversion D.Translocation E.Duplication,C.Inversion
62,7,1,1,12. Polymorphisms(2.0分),A.Refer to multiple conformations observed for the same sequence of DNA B.Refers to allelic variations that are common ( in >1% of population)  C.Are produced by insertions or deletions D.Refer to the mutant sequence of DNA from patients E.Are produced by inversion,B.Refers to allelic variations that are common ( in >1% of population) 
63,7,1,1,13. The best estimate for the number of human genes is:(2.0分),"A.1,000,000 B.25,000 C.50,000 D.100,000 E.15,000","B.25,000"
64,7,1,1,14. Which of the following cell types would not be a possible source of DNA?(2.0分),A.Skin cells. B.Brain cells. C.Liver cells. D.Red blood cells. E.Heart cells.,D.Red blood cells.
65,7,1,1,15. A mechanism of epigenetic inheritance is(2.0分),A.genomic imprinting B.non-coding RNAs C.DNA methylation D.histone modification E.All of the above,E.All of the above
66,7,1,1,16. A male is found to have a 46 CAG repeats. Which of the following disorders is the most likely diagnosis?(2.0分),A.Huntington disease B.Friedreich ataxia C.Fragile-X-associated Tremor Ataxia Syndrome D.Fragile X syndrome E.Myotonic dystrophy,A.Huntington disease
67,7,1,1,"17. The process that allows humans to be more complex than common weeds such as Arabadopsis (拟南芥。一种十字花科植物。模式生物), despite an equivalent number of genes, is(2.0分)",A.nucleotide polymorphisms B.transcription C.nucleotide expansion D.alternative splicing E.translation,D.alternative splicing
68,7,1,1,18. Robertsonian translocations(2.0分),A.Are the most common chromosome rearrangements in human. B.Occur with roughly equal frequency for all autosomal chromosomes. C.Account for Down syndrome in about 95% of the cases. D.Are unbalanced translocations. E.Involve the deleterious loss of sole copies of genes for ribosomal RNA.,A.Are the most common chromosome rearrangements in human.
69,7,1,1,19. Which of the following karyotypes is not compatible with survival to birth?(2.0分),"A.47,XY,+ 21 B.47,XY,+18  C.47,XY,+13 D.45,X E.45,Y","E.45,Y"
70,7,1,1,20. In a Robertsonian translocation fusion occurs at the:(2.0分),A.histones. B.centromeres. C.telomeres. D.ends of the long arms. E.Middle of the long arms.,B.centromeres.
71,7,1,1,21. The cause of Down's syndrome is known to be(2.0分),A.the absence of one autosome B.the presence of one extra sex chromosome C.the presence of one extra autosome D.a pituitary（垂体）deficiency E.a pair of recessive genes,C.the presence of one extra autosome
72,7,1,1,22. The presence of two or more cell lines from different zygotes in a single individual is known as:(2.0分),A.mosaicism. B.aneuploidy.（非整倍体） C.diploidy. （二倍体） D.euploidy. （整倍体） E.chimaerism.,E.chimaerism.
73,7,1,1,23. Which of the following is an example of monosomy?(2.0分),"A.69,XYY B.46,XX C.45,X D.47,XXX E.46,XX,5p-","C.45,X"
74,7,1,1,24. Disorders with this mode of inheritance are sometimes found more commonly in societies that practice consanguinity: (2.0分),A.autosomal recessive B.X-linked C.autosomal dominant D.multifactorial E.cancer,A.autosomal recessive
75,7,1,1,"25. Both of Mary's sons have the X-linked disorder Duchenne muscular dystrophy. A deletion in the DMD gene is found in each of the boys, but no mutation in DMD is found when a blood sample from Mary is analyzed. What is the most likely explanation? (2.0分)",A.The mutation was inherited from the boys' father  B.The boys were affected by separate mutation events in DMD C.Mary is germline mosaic for a DMD deletion D.The phenotype is not penetrant in Mary  E.The phenotype is X-linked recessive,C.Mary is germline mosaic for a DMD deletion
76,7,1,1,26. Which inheritance pattern best describes the pedigree shown here?(2.0分),A.XD B.AD C.XR D.AR E.Mitochodrial,C.XR
77,7,1,1,27. Male to male transmission is a key feature of which pattern of inheritance?(2.0分),A.AR B.XR C.AD D.XD E.Mitochodrial,C.AD
78,7,1,1,28. Which of the following disorders does NOT show X-linked inheritance?(2.0分),A.Tay-Sachs disease B.Hemophilia B C.Duchenne muscular dystrophy D.Hemophilia A E.Red-green blindness,A.Tay-Sachs disease
79,7,1,1,29. Leber hereditary optic atrophy (LHON) is caused by a mutation in:(2.0分),A.chromosome 13. B.chromosome 21. C.chromosome 18. D.chromosome 5. E.mitochondrial DNA.,E.mitochondrial DNA.
80,7,1,1,"30. A dominantly inherited trait affects a child and his grandmother, but neither parent. This best illustrates which of the following principles?(2.0分)",A.New mutation. B.Non-penetrance C.Variable expressivity. D.Somatic mosaicism. E.Genomic imprinting,B.Non-penetrance
81,7,1,1,31. Which of the following genes conveys susceptibility for polygenic Alzheimer disease? (2.0分),A.PS1 B.APP C.PS2 D.APOE E.DMD,D.APOE
82,7,1,1,32. Which of the following conditions does NOT show multifactorial inheritance? (2.0分),A.Spina bifida (neural tube defects)（脊柱裂。神经管缺陷） B.Schizophrenia C.Pyloric stenosis（幽门狭窄） D.Hirschsprung disease（先天性巨结肠症） E.Marfan syndrome,E.Marfan syndrome
83,7,1,1,33. In a condition such as hypertension the recurrence risk will be greatest for which of the following relatives of an affected individual?(2.0分),A.Nephew  B.Brother C.Grandchild D.Aunt E.Grandchild's child,B.Brother
