,grade,module,week,question_stem,choice,answer
253,6,8,8,1. 对扁桃体的描述错误的是： (3.0分),A.淋巴上皮器官 B.深浅不一的盲管称为咽隐窝 C.具有免疫功能； D.血液供应丰富 E.与咽侧索相邻.,B.深浅不一的盲管称为咽隐窝
254,6,8,8,2. 下列哪些不是颅内压增高者的呕吐特点(3.0分),A.常与饮食有关 B.多在头痛剧烈时出现 C.常为喷射状 D.常为严重颅内高压唯一早期症状 E.幕下肿瘤者发生率较高,A.常与饮食有关
255,6,8,8,3. 确诊气管，支气管异物最可靠的方法是：  (3.0分),A.病史 B.支气管镜检查  C.X线检查 D.体格检查 E.手术探查,B.支气管镜检查 
256,6,8,8,4. 有助于少突胶质细胞瘤病理诊断的病变为：(3.0分),A.常可见镜下钙化 B.常有出血、囊性变 C.间质少、血管丰富 D.瘤细胞大小、形态一致 E.核圆深染，核周空晕，胞界清楚，蜂窝样结构,E.核圆深染，核周空晕，胞界清楚，蜂窝样结构
257,6,8,8,5. 视乳头水肿在临床诊断颅内压增高或颅内占位性病变的意义中，下列哪种说法是正确的？(3.0分),A.视乳头水肿对颅内占位病变的性质有鉴别诊断价值 B.无视乳头水肿，可以排除颅内占位病变的存在 C.出现视乳头水肿，可以肯定颅内有占位性病变 D.无视乳头水肿可以排除颅内压增高 E.视乳头水肿是颅内压增高的重要体征,E.视乳头水肿是颅内压增高的重要体征
258,6,8,8,6. 以下疾患主要累及眼外肌的是：(3.0分),A.眶骨膜下血肿 B.血管淋巴管瘤 C.视网膜母细胞瘤 D.视神经脑膜瘤 E.Gravis眼病,E.Gravis眼病
259,6,8,8,7. 骨盆骨折出血原因90%是？(3.0分),A.动脉 B.肠道损伤 C.膀胱损伤 D.静脉和骨折端,D.静脉和骨折端
260,6,8,8,8. 下列那个疾病一般不发生吸气性呼吸困难：(3.0分),A.急性会厌炎 B.哮喘    C.喉癌（声门下型） D.小儿急性喉炎,B.哮喘   
261,6,8,8,9. 面静脉的解剖特点是(3.0分),A.静脉较多 B.静脉较粗 C.直接与海绵窦相通 D.静脉较细 E.无瓣膜   ,E.无瓣膜   
262,6,8,8,10. 声带瘫痪，固定在轻外展位，提示病损的喉内肌是(3.0分),A.张力肌 B.内收肌 C.外展肌 D.会厌活动肌,B.内收肌
263,6,8,8,11. 下列那个疾病一般不会出现进行性吞咽困难：(3.0分),A.咽神经官能症 B.食管腐蚀伤后 C.食道癌 D.食道平滑肌瘤,A.咽神经官能症
264,6,8,8,12. 最为常见的气管切开术后并发症是(3.0分),A.脱管      B.气胸 C.出血  D.皮下气肿 E.纵隔气肿,D.皮下气肿
265,6,8,8,13. 以下疾患状常见肌锥外间隙的是：(3.0分),A.眶骨膜下血肿 B.视网膜母细胞瘤 C.视神经脑膜瘤 D.血管淋巴管瘤 E.Gravis眼病,D.血管淋巴管瘤
266,6,8,8,14. 鼻呼吸区粘膜纤毛摆动的方向主要是： (3.0分),A.从上向下 B.从后向前 C.从前向后 D.从下向上 E.以上都不是    ,C.从前向后
267,6,8,8,15. 最多见的颅内肿瘤是(3.0分),A.神经鞘瘤或神经纤维瘤 B.脑膜瘤  C.垂体腺瘤 D.胶质细胞瘤  E.血管瘤 ,D.胶质细胞瘤 
268,6,8,8,16. 下列哪项不属于咽的生理功能(3.0分),A.呼吸; B.吞咽; C.免疫; D.保护  E.屏气 ,E.屏气 
269,6,8,8,17. 最容易引起颅骨侵蚀的颅内肿瘤是 (3.0分),A.神经纤维瘤 B.血管瘤 C.松果体瘤 D.胶质细胞瘤 E.脑膜瘤,E.脑膜瘤
270,6,8,8,18. 胰(3.0分),A.由肠系膜下动脉的分支供血 B.为腹膜间位器官 C.在胰颈后面有门静脉的起始部 D.前面隔腹膜与十二指肠紧密相贴 E.胰尾位于胃脾韧带内,C.在胰颈后面有门静脉的起始部
271,6,8,8,19. 喉癌最好发部位是：(3.0分),A.会厌 B.喉室 C.室带     D.杓会厌襞 E.声带,E.声带
272,6,8,8,20. 最常见的关节脱位是？(3.0分),A.肘关节 B.肩关节 C.髋关节 D.肩锁关节,B.肩关节
273,6,8,8,21. 最容易发生脑转移的肿瘤是 (3.0分),A.结肠癌 B.支气管肺癌 C.乳房癌 D.黑色素瘤 E.绒毛膜上皮癌,B.支气管肺癌
274,6,8,8,22. 瘤细胞环绕神经纤维形成典型的菊形团的肿瘤是 (3.0分),A.脑膜瘤 B.髓母细胞瘤 C.少突胶质细胞瘤 D.纤维型星形胶质细胞瘤 E.多形性胶质母细胞瘤,B.髓母细胞瘤
275,6,8,8,23. 哪一项不是小儿的喉解剖特点：(3.0分),A.声带较成人短 B.软骨较成人软 C.声门较成人小 D.位置较成人高 E.结缔组织成分多，不易发生炎性肿胀,E.结缔组织成分多，不易发生炎性肿胀
276,6,8,8,24. 中结肠动脉走行于 (3.0分),A.盲肠系膜内 B.小肠系膜内 C.升结肠系膜内 D.横结肠系膜内 E.乙状结肠系膜内,D.横结肠系膜内
277,6,8,8,25. 手术时确认幽门位置的重要标志是(3.0分),A.幽门前静脉 B.胃十二指肠动脉 C.幽门括约肌 D.胃右动脉 E.十二指肠悬肌,A.幽门前静脉
278,6,8,8,26. 以下哪一组病变位置与临床表现不符？(3.0分),A.顶叶→感觉性局限性癫痫，皮质感觉障碍 B.中央区→对侧肢体感觉、运动障碍 C.额叶前部→精神症状 D.颞叶→海马钩回发作 E.枕叶→Foster-Kennedy综合征,E.枕叶→Foster-Kennedy综合征
