number,grade,module,week,question_stem,choice,correct_answer
283,6,3,8,1. 产生渗透性利尿时，终尿(3.0分),A.Na+增加 B.渗透压降低 C.渗透压变化小 D.渗透压升高 E.尿浓缩,C.渗透压变化小
284,6,3,8,2. 在我国，引起慢性肾功能衰竭最常见的病因为(2.0分),A.梗阻性肾病 B.慢性肾小球肾炎 C.高血压肾病 D.糖尿病肾病 E.慢性肾盂肾盂,B.慢性肾小球肾炎
285,6,3,8,3. HCO3-重吸收的主要部位是(3.0分),A.近曲小管  B.外髓集合管 C.髓袢升支  D.远曲小管  E.皮质集合管,A.近曲小管 
286,6,3,8,4. 输尿管芽发育形成：(3.0分),A.输尿管； B.输尿管、肾盂、肾盏和集合管； C.输尿管、肾盂； D.集合小管和肾小管； E.输尿管、肾盂、肾盏、集合管和肾小管。,B.输尿管、肾盂、肾盏和集合管；
287,6,3,8,5. 呼吸性酸中毒时血液中起主要作用的缓冲碱是(3.0分),A.K-Hb  B.NaPr  C.NaHCO3  D.Na2HPO4 E.K2HPO4,A.K-Hb 
288,6,3,8,6. 基底层的分子结构由层粘连蛋白和Ⅳ型胶原的网状结构形成。以下哪些结论正确(3.0分),A.层粘连蛋白为十字型结构 B.层粘连蛋白和Ⅳ型胶原蛋白都是由三条多肽链组成 C.Ⅳ型胶原蛋白含有重复序列（Gly － Hypro －Y ）n D. 以上观点都正确,D. 以上观点都正确
289,6,3,8,7. 血液流经肾小球时，促进血血浆滤出的直接动力是。(2.0分),A.肾小球毛细血管血压 B.入球小动脉血压 C.全身动脉血压 D.肾动脉血压 E.出球小动脉血压,A.肾小球毛细血管血压
290,6,3,8,8. 下列因素中______可抑制肾素的分泌(2.0分),A.肾交感神经兴奋 B.血压下降  C.循环血量增加 D.血浆晶体渗透压升高 E.肾血流量减少,C.循环血量增加
291,6,3,8,9. 血钙中的哪一形式钙具有直接生理作用(3.0分),A.乳酸钙 B.可扩散结合钙 C.柠檬酸钙 D.蛋白结合钙 E.游离钙,E.游离钙
292,6,3,8,10. 大量饮清水后尿量增多，主要由于(3.0分),A.醛固酮分泌减少 B.ADH分泌减少 C.肾小球滤过率增加 D.血浆胶体渗透压降低,B.ADH分泌减少
