,grade,module,week,question_stem,choice,correct_answer
277,6,4,7,1. 下列哪项不属于疣状癌的的特点？(2.0分),A.发病与HPV感染无关 B.形态与尖锐湿疣相似 C.仅局部浸润，极少转移 D.为高分化鳞癌,A.发病与HPV感染无关
278,6,4,7,2. 有关精原细胞瘤形态特点哪项不正确？ (2.0分),A.瘤细胞形成小叶状结构 B.部分病例可伴有滋养细胞分化 C.间质常有淋巴细胞浸润 D.瘤细胞间分界不清,D.瘤细胞间分界不清
279,6,4,7,3. 夜间阴茎胀大试验的作用是(2.0分),A.测定阴茎的粗细和长度 B.鉴别动脉性还是静脉性勃起功能障碍 C.测定阴茎勃起的硬度 D.判断勃起功能障碍的程度 E.鉴别心理性还是器质性勃起功能障碍,E.鉴别心理性还是器质性勃起功能障碍
280,6,4,7,4. 当HIV侵入机体后，未进入发病期者被称为(2.0分),A.窗口期病人 B.艾滋病病毒感染者 C.艾滋病病人 D.艾滋病期病人,B.艾滋病病毒感染者
281,6,4,7,5. 艾滋病人体体液含有大量病毒，具有很强传染性的是(2.0分),A.尿液 B.血液 C.泪液 D.汗液,B.血液
282,6,4,7,6. 世界卫生组织推荐的诊断艾滋病的主要症状是(2.0分),A.发热1个月以上 B.体重减轻10%以上 C.持续性或间歇性慢性腹泻1个月以上 D.体重减轻10%以上，发热1个月以上和持续性或间歇性慢性腹泻1个月以上,D.体重减轻10%以上，发热1个月以上和持续性或间歇性慢性腹泻1个月以上
283,6,4,7,7. 关于梅毒下疳的叙述，错误的是(2.0分),A.触诊有软骨样硬度    B.无疼痛与压痛    C.为圆形或椭圆形、境界清楚的溃疡    D.损害常为多发    E.不经治疗3～8周自然消失,D.损害常为多发   
284,6,4,7,8. 梅毒治疗的首选药物是 (2.0分),A.长效青霉素 B.多西环素 C.头孢三嗪 D.阿奇霉素 E.复方新诺明,A.长效青霉素
285,6,4,7,9. 晚期梅毒病人除皮肤黏膜损害外，发病率最高的是 (2.0分),A.骨梅毒    B.眼梅毒    C.心血管梅毒    D.神经梅毒    E.口腔梅毒,A.骨梅毒   
286,6,4,7,10. 哪种患者禁用雄激素(2.0分),A.贫血 B.乳腺癌 C.前列腺癌 D.胃十二指肠溃疡 E.急慢性肝炎,C.前列腺癌
287,6,4,7,11. 关于一期梅毒淋巴结炎的叙述，错误的是(2.0分),A.常累及单侧腹股沟淋巴结或患处附近淋巴结    B.发生于硬下疳出现1～2周后    C.质地较硬，表面常可见红肿或破溃，疼痛明显，且有触痛    D.消退常需数月    E.淋巴结穿刺检查可见大量苍白螺旋体,C.质地较硬，表面常可见红肿或破溃，疼痛明显，且有触痛   
288,6,4,7,12. 下列哪项不属于良性前列腺增生的特点?(2.0分),A.发病与雄激素水平有关 B.常发生于前列腺周围区 C.增生的腺体有两层细胞构成 D.不易恶变为前列腺癌,B.常发生于前列腺周围区
289,6,4,7,13. 西地那非（万艾可）治疗勃起功能障碍的作用机制是因为它是一种(2.0分),A.PDE5抑制剂 B.α肾上腺受体拮抗剂 C.β受体激动剂 D.多巴胺受体激动剂 E.一氧化氮供体,A.PDE5抑制剂
290,6,4,7,14. 下列哪类人群不属于艾滋病毒感染的高危人群(2.0分),A.静脉吸毒者 B.性乱交者 C.同性恋者 D.无偿献血人员,D.无偿献血人员
291,6,4,7,15. 淋病的治愈标准为(2.0分),A.A与C均正确 B.在治疗结束后第4天及第8天涂片培养二次均阴性 C.症状体征全部消失         D.尿液常规检查阴性 E.A、B与C均正确,E.A、B与C均正确
292,6,4,7,16. 下列哪项不是睾丸肿瘤的病因(2.0分),A.长期毒物接触，如氧化锌 B.睾丸鞘膜积液 C.睾丸外伤后血运障碍 D.隐睾 E.病毒感染,B.睾丸鞘膜积液
293,6,4,7,17. 以下不是吉-海反应的表现是(2.0分),A.寒战，发热 B.主动脉破裂 C.原发疾病加重 D.RPR滴度急剧上升,D.RPR滴度急剧上升
294,6,4,7,18. 新生儿淋菌性眼炎主要的感染途径是(2.0分),A.自我接种 B.接触被分泌物污染的物品 C.产道传染 D.哺乳 ,C.产道传染
