,grade,module,week,question_stem,choice,correct_answer
290,6,6,8,1. 关于固定型药疹，不正确的是(3.0分),A.皮疹愈合后留下灰黑色色素斑，约1周消退    B.皮疹常为1个    C.皮疹好发于皮肤黏膜交界处          D.典型皮疹为圆形或类圆形的水肿性暗紫红色斑疹    E.黏膜皱褶处糜烂时常感疼痛,A.皮疹愈合后留下灰黑色色素斑，约1周消退   
291,6,6,8,2. 皮肤的颜色与下列哪个因素无关 (3.0分),A.身高 B.营养 C.种族 D.性别 E.部位,A.身高
292,6,6,8,3. 下列哪项不是激素的作用(3.0分),A.抗炎 B.抗休克  C.抗病毒 D.免疫抑制  E.抗增生,C.抗病毒
293,6,6,8,4. 湿敷适用于下列哪种情况 (3.0分),A.急性湿疹伴大量渗出时 B.红斑丘疹时 C.无皮疹仅瘙痒时 D.慢性皮炎时 E.荨麻疹的风团,A.急性湿疹伴大量渗出时
294,6,6,8,5. 起病急骤，红斑迅速弥漫全身，尼氏征阳性的药疹多考虑为 (3.0分),A.固定型药疹  B.大疱性表皮松解型药疹 C.光变态反应性药疹    D.剥脱性皮炎型药疹 E.猩红热型药疹,B.大疱性表皮松解型药疹
295,6,6,8,6. 皮肤发挥屏障作用的主要是(3.0分),A.颗粒层 B.透明层 C.棘层 D.基底层 E.角质层,E.角质层
296,6,6,8,7. 下列那种细胞不是真皮中的成分(3.0分),A.成纤维细胞 B.梅克尔细胞 C.肥大细胞 D.巨噬细胞    E.树突状细胞,B.梅克尔细胞
297,6,6,8,8. 头部不适宜用 (3.0分),A.洗剂 B.溶液 C.乳剂  D.酊剂  E.乳剂,A.洗剂
298,6,6,8,9. 红斑狼疮中SCLE约占：(3.0分),A.  10％一15％ B.  5％一10％ C.  15％一20％ D.  20％一25％,A.  10％一15％
299,6,6,8,10. 关于丘疹，下列哪项是错误的(4.0分),A.丘疹表面可为扁平、乳头状、脐凹    B.丘疹的直径>1cm  C.丘疹为局限性隆起的皮疹 D.丘疹病变常位于表皮及真皮浅层    E.丘疹可有多种颜色,B.丘疹的直径>1cm 
300,6,6,8,11. 播散性DLE指的是皮损超过(3.0分),A.  头面部 B.  面颊部 C.  躯干上1/3 D.  整个躯干,A.  头面部
301,6,6,8,12. 血管性水肿特点包括下述各点，除外 (3.0分),A.局限性水肿    B.凹陷性水肿    C.好发于眼睑、包皮    D.痒感不明显    E.遗传性引起是由于血液和组织中C1酯酶抑制物水平低或无活性所致,B.凹陷性水肿   
302,6,6,8,13. 下列哪种皮疹不是原发疹(3.0分),A.脓痂 B.水疱 C.斑疹 D.脓疱 E.结节,A.脓痂
303,6,6,8,14. 引起过敏性休克的发病机制主要是哪型变态反应(3.0分),A.Ⅳ型    B.非变态反应    C.Ⅰ型    D.Ⅱ型    E.Ⅲ型,C.Ⅰ型   
304,6,6,8,15. 引起急性荨麻疹的变态反应主要是(3.0分),A.Ⅲ型变态反应     B.II型变态反应 C.I型变态反应                 D.Ⅳ型变态反应     E.两种以上变态反应,C.I型变态反应                
305,6,6,8,16. 特应性皮炎各年龄期皮损特点不包括(3.0分),A.婴儿期渗出性皮损多见    B.常发生在伸侧    C.常发生在屈侧    D.成人期皮疹类似于神经性皮炎       E.皮损可缓解、发作交替,B.常发生在伸侧   
306,6,6,8,17. 冷冻治疗的原理 (3.0分),A.细胞中毒 B.机械损伤 C.细胞膜类脂蛋白复合物变性 D.血液淤滞 E.以上都是,C.细胞膜类脂蛋白复合物变性
307,6,6,8,18. 下列关于急性荨麻疹的叙述错误的是 (3.0分),A.多有瘙痒     B.起病急    C.无皮肤外的任何器官受累 D.严重者皮损处可出现橘皮样外观     E.抗组胺药治疗有效,C.无皮肤外的任何器官受累
